month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Haryana,state_Karnataka,state_Madhya Pradesh,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,market_Alur,market_Amarpatan,market_Annigeri,market_Arasikere,market_Badami,market_Bagalakot,market_Bangalore,market_Bellary,market_Bhadravathi,market_Chamaraj Nagar,market_Channarayapatna,market_Chintamani,market_Davangere,market_Deoband,market_Devandranagar,market_Dharwar,market_Gundlupet,market_H.B. Halli,market_Hanagal,market_Harappana Halli,market_Hassan,market_Haveri,market_Holenarsipura,market_Hoskote,market_Hubli (Amaragol),market_Huliyar,market_Israna,market_Jaspur,market_K.R. Pet,market_Kadur,market_Kalagategi,market_Kanakapura,market_Kunigal,market_Laxmeshwar,market_Madathukulam,market_Madhugiri,market_Meham,market_Mundaragi,market_Nagarkurnool,market_Nippani,market_Piriya Pattana,market_Ramanagara,market_Ranebennur,market_Rona,market_Sandila,market_Savanur,market_Sindhanur,market_Sira,market_Srirangapattana,market_Vilaspur,market_Yadgir,market_Yalburga,variety_Other,year
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2020
