month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Himachal Pradesh,state_Kerala,state_NCT of Delhi,state_Odisha,state_Punjab,market_Angul(Jarapada),market_Azadpur,market_Banki,market_Bhuntar,market_Dabwali,market_Fatehabad,market_Jagadhri,market_Junagadh,market_Kuchinda,market_Makhu,market_Raikot,market_Sasthamkotta,market_Shimla,market_Shimla and Kinnaur(Rampur),market_Tohana,market_kalanwali,year
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,2020
,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,,2020
,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,2020
