month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Kerala,state_Punjab,state_Uttar Pradesh,state_Uttrakhand,market_Amritsar(Amritsar Mewa Mandi),market_Azamgarh,market_Bhadaur(Sehna),market_Bhulath,"market_Binny Mill (F&V), Bangalore",market_Davangere,market_Hoskote,market_Jaspur(UC),market_Kanakapura,market_Malur,market_Muktsar,market_Palayam,market_Udupi,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,1,2020
,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,1,2020
,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,1,2020
,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,1,2020
,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,1,2020
,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,2020
,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,1,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,1,2020
,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,1,2020
,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,2020
,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,1,2020
,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,2020
,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,2020
,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,1,2020
,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,2020
,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,2020
,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,1,2020
,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,2020
,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,1,2020
,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,2020
,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,1,2020
,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,2020
,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,2020
,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,1,2020
,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,2020
,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1,2020
,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,2020
,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,2020
,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,2020
,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,1,2020
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,2020
,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,1,2020
,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,2020
,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,1,2020
,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,2020
,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,1,2020
,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,2020
,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,1,2020
,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2020
,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,2020
,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,2020
