month_August,month_December,month_February,month_January,month_March,month_May,month_November,month_October,month_September,state_Gujarat,state_Telangana,market_Baikunthpur,market_Devda,market_Gidam,market_Godhra,market_Jagdalpur,market_Jaitgiri,market_Lohandiguda,market_Nagarkurnool,market_Songadh,year
,,,,,,,,1,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,2020
,,,,,,,,1,,1,,,,,,,,1,,2020
,,,,,,,,1,1,,,,,,,,,,1,2020
,,,,,,,,1,1,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,2020
,,,,,,,1,,,1,,,,,,,,1,,2020
,,,,,,,1,,1,,,,,,,,,,1,2020
,,,,,,,1,,1,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,2020
,,,,,,1,,,,1,,,,,,,,1,,2020
,,,,,,1,,,1,,,,,,,,,,1,2020
,,,,,,1,,,1,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,,1,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,2020
,,,,,1,,,,,1,,,,,,,,1,,2020
,,,,,1,,,,1,,,,,,,,,,1,2020
,,,,,1,,,,1,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,2020
,,,,1,,,,,,1,,,,,,,,1,,2020
,,,,1,,,,,1,,,,,,,,,,1,2020
,,,,1,,,,,1,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,2020
,,,1,,,,,,,1,,,,,,,,1,,2020
,,,1,,,,,,1,,,,,,,,,,1,2020
,,,1,,,,,,1,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,2020
,,1,,,,,,,,1,,,,,,,,1,,2020
,,1,,,,,,,1,,,,,,,,,,1,2020
,,1,,,,,,,1,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,,1,,,,,,,,1,,2020
,1,,,,,,,,1,,,,,,,,,,1,2020
,1,,,,,,,,1,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,,1,,,,,,,,1,,2020
1,,,,,,,,,1,,,,,,,,,,1,2020
1,,,,,,,,,1,,,,,1,,,,,,2020
