month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,"market_Flower Market,Gazipur",variety_Cornation,variety_Gladiolus Cut Flower,variety_Jerbara,variety_Lily,variety_Marigold(Calcutta),variety_Orchid,variety_Other,variety_Patti Calcutta,variety_Rose (Local),variety_Tube Rose (Single),year
,,,,,,,,,,1,1,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,,1,,,,2020
,,,,,,,,,,1,1,,,1,,,,,,,,2020
,,,,,,,,,,1,1,,1,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,,1,,,,2020
,,,,,,,,,1,,1,,,1,,,,,,,,2020
,,,,,,,,,1,,1,,1,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,,1,,,,2020
,,,,,,,,1,,,1,,,1,,,,,,,,2020
,,,,,,,,1,,,1,,1,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,1,,,,2020
,,,,,,,1,,,,1,,,1,,,,,,,,2020
,,,,,,,1,,,,1,,1,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,,1,,,,2020
,,,,,,1,,,,,1,,,1,,,,,,,,2020
,,,,,,1,,,,,1,,1,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,,1,,,,2020
,,,,,1,,,,,,1,,,1,,,,,,,,2020
,,,,,1,,,,,,1,,1,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,,1,,,,2020
,,,,1,,,,,,,1,,,1,,,,,,,,2020
,,,,1,,,,,,,1,,1,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,,1,,,,2020
,,,1,,,,,,,,1,,,1,,,,,,,,2020
,,,1,,,,,,,,1,,1,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,1,2020
,,1,,,,,,,,,1,,,,,,,1,,,,2020
,,1,,,,,,,,,1,,,1,,,,,,,,2020
,,1,,,,,,,,,1,,1,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,1,2020
,1,,,,,,,,,,1,,,,,,,1,,,,2020
,1,,,,,,,,,,1,,,1,,,,,,,,2020
,1,,,,,,,,,,1,,1,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,1,,,,2020
1,,,,,,,,,,,1,,,1,,,,,,,,2020
1,,,,,,,,,,,1,,1,,,,,,,,,2020
