month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Assam,state_Chattisgarh,state_Goa,state_Haryana,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Meghalaya,state_Mizoram,state_Nagaland,state_Tamil Nadu,market_Adimali,market_Aluva,market_Ampati,market_Anaimalai,market_Anchal,market_Angamaly,market_Arasikere,market_Baghmara,market_Bangalore,market_Bantwala,market_Belthangdi,market_Belur,market_Bhadravathi,market_Bijapur,market_Bongiagaon,market_Byadagi,market_Canacona,market_Chalakudy,market_Chamaraj Nagar,market_Channagiri,market_Channarayapatna,market_Chickkaballapura,market_Chikkamagalore,market_Chitradurga,market_Curchorem,market_Dadengiri,market_Davangere,market_Dawki,market_Dhekiajuli,market_Dhing,market_Ding,market_Doddaballa Pur,market_Garobadha,market_Gasuapara,market_Gharghoda,market_Goalpara,market_Golaghat,market_Gonikappal,market_Goreswar,market_Gowribidanoor,market_Gubbi,market_Hailakandi,market_Holalkere,market_Holenarsipura,market_Honnali,market_Honnavar,market_Hosanagar,market_Howly,market_Huliyar,market_Hunsur,market_Irikkur,market_Jowai,market_K.R. Pet,market_K.R.Nagar,market_Kadur,market_Kallachi,market_Kamthi,market_Kanjangadu,market_Karad,market_Karimganj,market_Karkala,market_Kasargod,market_Kattakada,market_Kharupetia,market_Khliehriat,market_Koppa,market_Kothamangalam,market_Kottakkal,market_Kumta,market_Kundapura,market_Kuthuparambu,market_Lanka,market_Madikeri,market_Malur,market_Mandya,market_Mangalore,market_Manjeri,market_Manjeswaram,market_Mapusa,market_Mawkyrwat,market_Moodigere,market_Moovattupuzha,market_Mukkom,market_Mumbai,market_Neeleswaram,market_New Market Aizawl,market_Nippani,market_Nongstoin,market_North Lakhimpur,market_P.O. Uparhali Guwahati,market_Pampady,market_Parappanangadi,market_Pavagada,market_Payyannur,market_Perambra,market_Pernem,market_Perumbavoor,market_Piriya Pattana,market_Pollachi,market_Ponda,"market_Ponda, Bagayatdar Bhawan",market_Punalur,market_Puttur,market_Rongram,market_Sagar,market_Sakaleshpura,market_Sangli,market_Sankeshwar,market_Sanquelim,market_Shikaripura,market_Shillong,market_Shimoga,market_Shimogga(Theertahalli),market_Sibsagar,market_Siddapur,market_Sindagi,market_Sira,market_Sirsi,market_Sohra,market_Somvarpet,market_Sorabha,market_Sringeri,market_Srinivasapur,market_Srirampur,market_Sulya,market_Taliparamba,market_Tarikere,market_Thiruppur,market_Thirurrangadi,market_Thodupuzha,market_Thondamuthur,market_Thrissur,market_Tinsukia,market_Tuli,market_Tumkur,market_Tuni,market_Tura,market_Turvekere,market_Valpol,market_Vengeri(Kozhikode),market_Wadakkanchery,market_Williamnagar,market_Yellapur,variety_Bilegotu,variety_Chali,variety_Chippu,variety_Churu,variety_Cochin,variety_Cqca,variety_EDI,variety_Factory,variety_Gorabalu,variety_Kempugotu,variety_Kole,variety_Malbar,variety_New Variety,variety_Other,variety_Pudi,variety_Pylone,variety_Rashi,variety_Raw,variety_Red,variety_Ripe,variety_Saraku,variety_Sippegotu,variety_Supari,variety_Tattibettee,variety_White,variety_api,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
