month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Gujarat,state_Jharkhand,state_Karnataka,state_Madhya Pradesh,state_Telangana,state_Uttar Pradesh,market_Azamgarh,market_Bangalore,market_Bangarpet,market_Biaora,market_Bidar,market_Bina,market_Channarayapatna,market_Chikkamagalore,market_Chintamani,market_Chitradurga,market_Davangere,market_Deoband,market_Dhanbad,market_Gaddiannaram,market_Gangoh,market_Gowribidanoor,market_Gundlupet,market_Hanagal,market_Hassan,market_Haveri,market_Hunsur,market_Jorhat,market_K.R. Pet,market_K.R.Nagar,market_Kadur,market_Kanakapura,market_Kollegal,market_Lohardaga,market_Lucknow,market_Malur,market_Mhow,market_Mysore (Bandipalya),market_Nagamangala,market_Piriya Pattana,market_Rampurmaniharan,market_Santhesargur,market_Songadh,market_Sringeri,market_Tarikere,market_Valod(Buhari),variety_Bidar,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
