month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Rajasthan,state_Tamil Nadu,market_Dharamkot,market_Firozepur City,market_Katpadi(Uzhavar Santhai),year
,,,,,,,,,,1,,,,1,,2020
,,,,,,,,,,1,,,1,,,2020
,,,,,,,,,,1,,1,,,1,2020
,,,,,,,,,1,,,,,1,,2020
,,,,,,,,,1,,,,1,,,2020
,,,,,,,,,1,,,1,,,1,2020
,,,,,,,,1,,,,,,1,,2020
,,,,,,,,1,,,,,1,,,2020
,,,,,,,,1,,,,1,,,1,2020
,,,,,,,1,,,,,,,1,,2020
,,,,,,,1,,,,,,1,,,2020
,,,,,,,1,,,,,1,,,1,2020
,,,,,,1,,,,,,,,1,,2020
,,,,,,1,,,,,,,1,,,2020
,,,,,,1,,,,,,1,,,1,2020
,,,,,1,,,,,,,,,1,,2020
,,,,,1,,,,,,,,1,,,2020
,,,,,1,,,,,,,1,,,1,2020
,,,,1,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,1,,,2020
,,,,1,,,,,,,,1,,,1,2020
,,,1,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,1,,,1,2020
,,1,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,1,,,1,2020
,1,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,1,,,1,2020
1,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,1,,,1,2020
