month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Gujarat,state_Haryana,state_Karnataka,state_Madhya Pradesh,state_Maharashtra,state_NCT of Delhi,state_Odisha,state_Punjab,state_Rajasthan,state_Telangana,state_Tripura,state_Uttar Pradesh,state_Uttrakhand,market_Abohar,market_Achnera,market_Adampur,market_Agar,market_Agra,market_Ahmedgarh,market_Ait,market_Ajaygarh,market_Ajmer (Grain),market_Akole,market_Alampur,market_Aliganj,market_Aligarh,market_Alwar,market_Alwar (F&V),market_Amargarh,market_Amarpatan,market_Ambaha,market_Ambikapur,market_Amirgadh,market_Anand Nagar,market_Anandnagar,market_Anoop Shahar,market_Anta,market_Anupgarh,market_Atarra,market_Ateli,market_Atrauli,market_Atru,market_Auraiya,market_Awagarh,market_Azamgarh,market_Bachranwa,market_Badamalhera,market_Badayoun,market_Bagru,market_Bahadurgarh,market_Bahedi,market_Baikunthpur,market_Ballabhgarh,market_Banda,market_Bandikui,market_Bandikui(Geejgarh),market_Bangarmau,market_Banswara,market_Banthara,market_Baran,market_Baraut,market_Barodamev,market_Baruwasagar,market_Barwala,market_Bassi,market_Bayana,market_Beawar,market_Begu,market_Behal,market_Bhadara,market_Bhagat Ki Kothi,market_Bhander,market_Bhanpura,market_Bharatpur,market_Bharuasumerpur,market_Bhattu Kalan,market_Bhehjoi,market_Bhiloda,market_Bhilwara,market_Bhind,market_Bhiwani,market_Bhopal,market_Bhuna,market_Bijolia,market_Bikaner (Grain),market_Bilara,market_Bilsi,market_Bina,market_Bodwad,market_Buland Shahr,market_Bundi,market_Ch. Dadri,market_Chaakghat,market_Chaksu,market_Charkhari,market_Charra,market_Chhatarpur,market_Chirawa,market_Chirgaon,market_Chittorgarh,market_Chitwadagaon,market_Chomu (Grain),market_Choubepur,market_Churu,market_Dabra,market_Dabwali,market_Dahod,market_Dankaur,market_Datia,market_Dausa,market_Deedwana,market_Deeg,market_Deesa(Bhildi),market_Degana,market_Dei,market_Deoband,market_Deoli,market_Devariya,market_Dhanera,market_Dholka(Koth),market_Dholpur,market_Dhuri,market_Ding,market_Divai,market_Doharighat,market_Ellanabad,market_Etah,market_Faizabad,market_Faridkot,market_Farukh Nagar,market_Fatehabad,market_Fatehnagar,market_Fatehpur,market_Fatehpur Sikri,market_Firozabad,market_Gadarpur,market_Gajsinghpur,market_Gangapur,market_Gangapur City,market_Gangapurcity(Old Lal mandi),market_Gharsana,market_Ghaziabad,market_Giddarbaha,market_Gohad,market_Goluwala,market_Gonda,market_Gorakhpur,market_Gulabpura,market_Gulavati,market_Guna,market_Gunpur,market_Haathras,market_Haldwani,market_Hanumangarh,market_Hanumangarh Town,market_Hanumangarh(Urlivas),market_Hapur,market_Hardoi,market_Haridwar Union,market_Harpalpur,market_Hassanpur,market_Hathin,market_Himatnagar,market_Hindoun,market_Hissar,market_Hodal,market_Hoshangabad,market_Itawa,market_Jabalpur,market_Jagnair,market_Jagraon,market_Jahangirabad,market_Jaipur (Grain),market_Jaipur(Grain)(Chandpole),market_Jaitaran,market_Jaitsar,market_Jajpur,market_Jalaun,market_Jasra,market_Jasvantnagar,market_Jatara,market_Javad,market_Jeerapur,market_Jhalarapatan,market_Jhalod,market_Jhansi,market_Jhijhank,market_Jhunjhunu,market_Jodhpur (Grain),market_Jui,market_Jullana,market_Kadaura,market_Kadi,market_Kailaras,market_Kalol,market_Kalpi,market_Kalsi,market_Kalvan,market_Kama,market_Karera,market_Karvi,market_Kasganj,market_Katni,market_Kekri,market_Kesarisinghpur,market_Keshoraipatan,market_Khair,market_Khairagarh,market_Khairthal,market_Khajuwala,market_Khaniadhana,market_Khanina,market_Khanpur,market_Khatauli,market_Khekda,market_Kherli,market_Khilchipur,market_Khurja,market_Kishan Renwal(Fulera),market_Kishangarh Renwal,market_Kishunpur,market_Kolaras,market_Konch,market_Kopaganj,market_Kosikalan,market_Kota,market_Kotkapura,market_Kotma,market_Kotputli,market_Kotputli(Pawla),market_Kuchaman City,market_Kumher,market_Kurali,market_Kurwai,market_Lahar,market_Lalgarh Jatan,market_Lalitpur,market_Lalru,market_Lalsot,market_Lashkar,market_LavKush Nagar(Laundi),market_Laxmangarh (Barodamev),market_Loharu,market_Lucknow,market_Lunkaransar,market_Madanganj Kishangarh,market_Madanganj Mahuwa,market_Madanganj Mandawar,market_Madhoganj,market_Madhogarh,market_Magroni,market_Mahoba,market_Mahuva,market_Mahuva(Station Road),market_Mainpuri,market_Malout,market_Malpura,market_Malpura(Todaraisingh),market_Malthone,market_Manasa,market_Mandalgarh,market_Mandawari,market_Mandsaur,market_Manendragarh,market_Mansa,market_Mansa(Manas Veg Yard),market_Mathura,market_Mau(Chitrakut),market_Maudaha,market_Mauranipur,market_Meerut,market_Mehar,market_Mohamadabad,market_Morena,market_Moth,market_Mow,market_Mullanpur,market_Muskara,market_Muzzafarnagar,market_Nadwai,market_Nagar,market_Nagaur,market_Nagod,market_Nagur,market_Najafgarh,market_Narela,market_Narnaul,market_Narwana,market_Nawalgarh,market_Nawanshahar,market_Neem Ka Thana,market_Neemuch,"market_New Grain Market , Faridabad",market_Nimbahera,market_Niwadi,market_Niwai,market_Nohar,market_Orai,market_Padampur,market_Palwal,market_Panchpedwa,market_Panna,market_Panthawada,market_Parikshitgarh,market_Pataudi,market_Pendraroad,market_Pichhour,market_Pilibanga,market_Pipariya,market_Piplya,market_Pohari,market_Pratappur,market_Raath,market_Raikot,market_Raisingh Nagar,market_Rajnagar,market_Rajpur,market_Rajsamand,market_Raman,market_Ramanujganj,market_Ramganjmandi,market_Rani,market_Rawatsar,market_Rawla,market_Rayagada,market_Rewa,market_Rewari,market_Rishikesh,market_Rohtak,market_Roorkee,market_Rudrapur,market_Rura,market_Sadulshahar,market_Saharanpur,market_Samalkha,market_Sambalpur,market_Sambhar (Kishangarh renwal),market_Samsabad,market_Sanad,market_Sandi,market_Sandila,market_Sangat,market_Sangriya,market_Sangrur,market_Sardar Shahar,market_Satna,market_Sawai Madhopur,market_Sehjanwa,market_Sevda,market_Shahabad,market_Shahabad(New Mandi),market_Shahdol,market_Shahzadpur,market_Shamgarh,market_Sheopurbadod,market_Sheopurkalan,market_Shikohabad,market_Shivpuri,market_Siddapur,market_Siddhpur,market_Sidhi,market_Sikanderabad,market_Sikandraraau,market_Sikar,market_Sikarpur,market_Singroli,market_Sirsa,market_Sirsaganj,market_Sitapur,market_Sitarganj,market_Siwani,market_Siyana,market_Sohna,market_Sojat Road,market_Sri Karanpur,market_Sri Madhopur,market_Sri Vijayanagar,market_Sridungargarh,market_Sriganganagar (Grain),market_Sujangarh,market_Sultanpur,market_Sumerganj,market_Sumerpur,market_Surajgarh,market_Surajpur,market_Suratgarh,market_Susner,market_Tamkuhi road,market_Tapa(Sadar Bazar),market_Tapa(Tapa Mandi),market_Tauru,market_Thara,market_Tikamgarh,market_Tohana,market_Tonk,market_Tosham,market_Tulsipur,market_Tundla,market_Uchana,market_Udaipur (Grain),market_Ujjain,market_Uklana,market_Uniyara,market_Unnao,market_Uttaripura,market_Vadnagar,market_Vai,market_Varipaal,market_Vijapur,market_Vijaynagar,market_Vijaypur,market_Vikasnagar,market_Visnagar,market_Yusufpur,market_kalanwali,variety_Deshi,variety_Local,variety_Other,variety_P1-426,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
