month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Haryana,state_Jharkhand,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Odisha,state_Rajasthan,state_Telangana,state_Uttar Pradesh,market_Arasikere,market_Baikunthpur,market_Bangarmau,market_Banki,market_Baripada,market_Bohorihat,market_Bongiagaon,market_Cachar,market_Chaakghat,market_Dhanbad,market_Dhekiajuli,market_Firozabad,market_Gadhwah,market_Golaghat,market_Harippad,market_Jorhat,market_Khair,market_Malkanagiri,market_Manendragarh,market_Nimapara,market_P.O. Uparhali Guwahati,market_Ramgarh,market_Sabalgarh,market_Silapathar,market_Tinsukia,market_Vijaynagar,market_Zaheerabad,market_kalanwali,variety_Bhagyalakshmi,variety_Medium Fine,variety_Other,variety_Paper,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2020
