month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Gujarat,state_Haryana,state_Jharkhand,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_NCT of Delhi,state_Odisha,state_Pondicherry,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Uttar Pradesh,state_Uttrakhand,market_Ait,market_Alappuzha,market_Alirajpur,market_Amreli,market_Aron,market_Aroor,market_Ashta,market_Azamgarh,market_Babra,market_Badnagar,market_Badnawar,market_Badwaha,market_Bageecha,market_Baikunthpur,market_Balwadi,market_Banda,market_Bareli,market_Bayana,market_Bazar Atriya,market_Bazpur,market_Beawar,market_Beohari,market_Berasia,market_Bhagwanpur(Naveen Mandi Sthal),market_Bhehjoi,market_Bhopal,market_Bijolia,market_Bina,market_Binaganj,market_Boraee,market_Buland Shahr,market_Ch. Dadri,market_Chaakghat,market_Chanthroor,market_Chaurai,market_Cherthala,market_Chhapiheda,market_Chhibramau,market_Chhpara,market_Dabra,market_Devbhog,market_Dhamnod,market_Dhanbad,market_Dhar,market_Dharamjaygarh,market_Dhrol,market_Dongargarh,market_Firozabad,market_Gairatganj,market_Ganaur,market_Ganjbasoda,market_Garoth,market_Gattasilli,market_Gautampura,market_Gazipur,market_Gingee,market_Gulabganj,market_Guna,market_Gunpur,market_Hanumana,market_Harda,market_Ichhawar,market_Jafarganj,market_Jaitaran,market_Jalalabad,market_Jalaun,market_Jamnagar,market_Jamshedpur,market_Jaora,market_Jaspur,market_Jetpur(Dist.Rajkot),market_Jhabua,market_Jhagadiya,market_Jobat,market_Kailaras,market_Kalapipal,market_Kalawad,market_Kallakurichi,market_Kannod,market_Karhi,market_Kasrawad,market_Kawardha,market_Keolari,market_Keshkal,market_Kesinga,market_Khachrod,market_Khaniadhana,market_Khanpur,market_Khargone,market_Kheragarh,market_Kherli,market_Khilchipur,market_Koderma,market_Kodinar,market_Konch,market_Kotba,market_Kumbhraj,market_Kunkuri,market_Kurawar,market_Kurwai,market_Lakshar,market_Lashkar,market_Lateri,market_Lucknow,market_Machalpur,market_Madagadipet,market_Mahidpur,market_Mahoba,market_Maksi,market_Maksudangarh,market_Malpura(Todaraisingh),market_Manawar,market_Mandalgarh,market_Manendragarh,market_Mau(Chitrakut),market_Maudaha,market_Meghraj,market_Mehar,market_Mirzapur,market_Modasa,market_Modasa(Tintoi),market_Momanbadodiya,market_Morena,market_Muskara,market_Nagari,market_Nainpur,market_Naraingarh,market_Narela,market_Narsinghgarh,market_Nasrullaganj,market_Neemuch,market_Neora,market_Niwai,market_Orai,market_Pachaur,market_Pachora(Bhadgaon),market_Padampur,market_Pali,market_Pandariya,market_Pathalgaon,market_Petlawad,market_Pipariya,market_Pipriya,market_Pratapgarh,market_Raghogarh,market_Raibareilly,market_Raigarh,market_Rajgarh,market_Rajula,market_Rampur,market_Rani,market_Ratlam,market_Rawla,market_Rayagada(Muniguda),market_Rewa,market_Rishikesh,market_Roorkee,market_Sabalgarh,market_Sailana,market_Sakri,market_Samsabad,market_Sanawad,market_Sanwer,market_Sarangpur,market_Savarkundla,market_Segaon,market_Sehore,market_Semriharchand,market_Sendhwa,market_Sengoan,market_Shadora,market_Shahdol,market_Shahkot,market_Shahpura,market_Shahpura(Jabalpur),market_Shajapur,market_Shamshabad,market_Sheopurkalan,market_Shivpuri,market_Shujalpur,market_Shyampur,market_Siddapur,market_Siddhpur,market_Sidhi,market_Sikanderabad,market_Sironj,market_Sitapur,market_Sitarganj,market_Sitmau,market_Sohela,market_Sonkatch,market_Surajpur,market_Suratgarh,market_Susner,market_Taal,market_Takhatpur,market_Tarana,market_Thandla,market_Thattanchavady,market_Thiryagadurgam,market_Tikabali,market_Tulsipur,market_Ujjain,market_Ulundurpettai,market_Umariya,market_Unhel,market_Vankaner,market_Vidisha,market_Vijapur,market_Virudhachalam,market_Yusufpur,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
