month_August,month_December,month_February,month_January,month_July,month_May,month_November,month_October,month_September,state_Karnataka,market_Hissar,market_kalanwali,variety_Other,year
,,,,,,,,1,,,1,,2020
,,,,,,,,1,,,1,1,2020
,,,,,,,,1,,1,,,2020
,,,,,,,,1,,1,,1,2020
,,,,,,,1,,,,1,,2020
,,,,,,,1,,,,1,1,2020
,,,,,,,1,,,1,,,2020
,,,,,,,1,,,1,,1,2020
,,,,,,1,,,,,1,,2020
,,,,,,1,,,,,1,1,2020
,,,,,,1,,,,1,,,2020
,,,,,,1,,,,1,,1,2020
,,,,,1,,,,,,1,,2020
,,,,,1,,,,,,1,1,2020
,,,,,1,,,,,1,,,2020
,,,,,1,,,,,1,,1,2020
,,,,1,,,,,,,1,,2020
,,,,1,,,,,,,1,1,2020
,,,,1,,,,,,1,,,2020
,,,,1,,,,,,1,,1,2020
,,,1,,,,,,,,1,,2020
,,,1,,,,,,,,1,1,2020
,,,1,,,,,,,1,,,2020
,,,1,,,,,,,1,,1,2020
,,1,,,,,,,,,1,,2020
,,1,,,,,,,,,1,1,2020
,,1,,,,,,,,1,,,2020
,,1,,,,,,,,1,,1,2020
,1,,,,,,,,,,1,,2020
,1,,,,,,,,,,1,1,2020
,1,,,,,,,,,1,,,2020
,1,,,,,,,,,1,,1,2020
1,,,,,,,,,,,1,,2020
1,,,,,,,,,,,1,1,2020
1,,,,,,,,,,1,,,2020
1,,,,,,,,,,1,,1,2020
