month_August,month_December,month_February,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Mizoram,state_Odisha,market_Koraput(Semilguda),market_Mawiong Regulated Market,market_New Market Aizawl,year
,,,,,,,,,1,,,,1,,2020
,,,,,,,,,1,,1,1,,,2020
,,,,,,,,,1,1,,,,1,2020
,,,,,,,,1,,,,,1,,2020
,,,,,,,,1,,,1,1,,,2020
,,,,,,,,1,,1,,,,1,2020
,,,,,,,1,,,,,,1,,2020
,,,,,,,1,,,,1,1,,,2020
,,,,,,,1,,,1,,,,1,2020
,,,,,,1,,,,,,,1,,2020
,,,,,,1,,,,,1,1,,,2020
,,,,,,1,,,,1,,,,1,2020
,,,,,1,,,,,,,,1,,2020
,,,,,1,,,,,,1,1,,,2020
,,,,,1,,,,,1,,,,1,2020
,,,,1,,,,,,,,,1,,2020
,,,,1,,,,,,,1,1,,,2020
,,,,1,,,,,,1,,,,1,2020
,,,1,,,,,,,,,,1,,2020
,,,1,,,,,,,,1,1,,,2020
,,,1,,,,,,,1,,,,1,2020
,,1,,,,,,,,,,,1,,2020
,,1,,,,,,,,,1,1,,,2020
,,1,,,,,,,,1,,,,1,2020
,1,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,1,1,,,2020
,1,,,,,,,,,1,,,,1,2020
1,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,1,1,,,2020
1,,,,,,,,,,1,,,,1,2020
