month_December,month_February,month_January,month_June,month_March,month_May,month_October,month_September,state_Rajasthan,state_Telangana,market_Bhalki,market_Choppadandi,market_Jagtial,market_Kanakapura,market_Madhugiri,market_Merta City,variety_Bullar-W,variety_Other,year
,,,,,,,1,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,1,,1,,2020
,,,,,,,1,,,,,,1,,,,,2020
,,,,,,,1,,,,,,1,,,1,,2020
,,,,,,,1,,,1,,,,,,,,2020
,,,,,,,1,,,1,,,,,,1,,2020
,,,,,,,1,,1,,,1,,,,,,2020
,,,,,,,1,,1,,,1,,,,,1,2020
,,,,,,,1,,1,,1,,,,,,,2020
,,,,,,,1,,1,,1,,,,,,1,2020
,,,,,,,1,1,,,,,,,1,,,2020
,,,,,,,1,1,,,,,,,1,,1,2020
,,,,,,1,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,1,,1,,2020
,,,,,,1,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,1,,,1,,2020
,,,,,,1,,,,1,,,,,,,,2020
,,,,,,1,,,,1,,,,,,1,,2020
,,,,,,1,,,1,,,1,,,,,,2020
,,,,,,1,,,1,,,1,,,,,1,2020
,,,,,,1,,,1,,1,,,,,,,2020
,,,,,,1,,,1,,1,,,,,,1,2020
,,,,,,1,,1,,,,,,,1,,,2020
,,,,,,1,,1,,,,,,,1,,1,2020
,,,,,1,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,1,,1,,2020
,,,,,1,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,1,,,1,,2020
,,,,,1,,,,,1,,,,,,,,2020
,,,,,1,,,,,1,,,,,,1,,2020
,,,,,1,,,,1,,,1,,,,,,2020
,,,,,1,,,,1,,,1,,,,,1,2020
,,,,,1,,,,1,,1,,,,,,,2020
,,,,,1,,,,1,,1,,,,,,1,2020
,,,,,1,,,1,,,,,,,1,,,2020
,,,,,1,,,1,,,,,,,1,,1,2020
,,,,1,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,1,,1,,2020
,,,,1,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,1,,,1,,2020
,,,,1,,,,,,1,,,,,,,,2020
,,,,1,,,,,,1,,,,,,1,,2020
,,,,1,,,,,1,,,1,,,,,,2020
,,,,1,,,,,1,,,1,,,,,1,2020
,,,,1,,,,,1,,1,,,,,,,2020
,,,,1,,,,,1,,1,,,,,,1,2020
,,,,1,,,,1,,,,,,,1,,,2020
,,,,1,,,,1,,,,,,,1,,1,2020
,,,1,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,1,,1,,2020
,,,1,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,1,,,1,,2020
,,,1,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,1,,,,,,1,,2020
,,,1,,,,,,1,,,1,,,,,,2020
,,,1,,,,,,1,,,1,,,,,1,2020
,,,1,,,,,,1,,1,,,,,,,2020
,,,1,,,,,,1,,1,,,,,,1,2020
,,,1,,,,,1,,,,,,,1,,,2020
,,,1,,,,,1,,,,,,,1,,1,2020
,,1,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,1,,1,,2020
,,1,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,1,,,1,,2020
,,1,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,1,,,,,,1,,2020
,,1,,,,,,,1,,,1,,,,,,2020
,,1,,,,,,,1,,,1,,,,,1,2020
,,1,,,,,,,1,,1,,,,,,,2020
,,1,,,,,,,1,,1,,,,,,1,2020
,,1,,,,,,1,,,,,,,1,,,2020
,,1,,,,,,1,,,,,,,1,,1,2020
,1,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,1,,1,,2020
,1,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,1,,,1,,2020
,1,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,1,,,,,,1,,2020
,1,,,,,,,,1,,,1,,,,,,2020
,1,,,,,,,,1,,,1,,,,,1,2020
,1,,,,,,,,1,,1,,,,,,,2020
,1,,,,,,,,1,,1,,,,,,1,2020
,1,,,,,,,1,,,,,,,1,,,2020
,1,,,,,,,1,,,,,,,1,,1,2020
1,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,1,,1,,2020
1,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,1,,,1,,2020
1,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,1,,,,,,1,,2020
1,,,,,,,,,1,,,1,,,,,,2020
1,,,,,,,,,1,,,1,,,,,1,2020
1,,,,,,,,,1,,1,,,,,,,2020
1,,,,,,,,,1,,1,,,,,,1,2020
1,,,,,,,,1,,,,,,,1,,,2020
1,,,,,,,,1,,,,,,,1,,1,2020
