month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,state_Madhya Pradesh,market_Bhopal,market_Dharamjaygarh,market_Kotba,market_Pathalgaon,market_Raigarh,market_Ramanujganj,year
,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,1,,,,,,1,,2020
,,,,,,,,,1,,,,,1,,,2020
,,,,,,,,,1,,,,1,,,,2020
,,,,,,,,,1,,,1,,,,,2020
,,,,,,,,,1,1,1,,,,,,2020
,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,1,,,,,,,1,,2020
,,,,,,,,1,,,,,,1,,,2020
,,,,,,,,1,,,,,1,,,,2020
,,,,,,,,1,,,,1,,,,,2020
,,,,,,,,1,,1,1,,,,,,2020
,,,,,,,1,,,,,,,,,1,2020
,,,,,,,1,,,,,,,,1,,2020
,,,,,,,1,,,,,,,1,,,2020
,,,,,,,1,,,,,,1,,,,2020
,,,,,,,1,,,,,1,,,,,2020
,,,,,,,1,,,1,1,,,,,,2020
,,,,,,1,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,1,,,2020
,,,,,,1,,,,,,,1,,,,2020
,,,,,,1,,,,,,1,,,,,2020
,,,,,,1,,,,1,1,,,,,,2020
,,,,,1,,,,,,,,,,,1,2020
,,,,,1,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,1,,,,2020
,,,,,1,,,,,,,1,,,,,2020
,,,,,1,,,,,1,1,,,,,,2020
,,,,1,,,,,,,,,,,,1,2020
,,,,1,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,1,,,,,2020
,,,,1,,,,,,1,1,,,,,,2020
,,,1,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,1,,,,,2020
,,,1,,,,,,,1,1,,,,,,2020
,,1,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,1,1,,,,,,2020
,1,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,1,1,,,,,,2020
1,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,1,1,,,,,,2020
