month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Kerala,state_Maharashtra,state_Odisha,state_West Bengal,market_Alappuzha,market_Betnoti,market_Bhavnagar,market_Darjeeling,market_Darjeeling(Klimpong),market_Kalimpong,market_Kalpetta,market_Kamthi,market_Karsiyang(Matigara),market_Kattappana,market_Mumbai,market_Munnar,market_Nedumkandam,market_Thodupuzha,market_Vadodara,market_Vandiperiyar,variety_Green,variety_Green Medium,variety_Large,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,1,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,2020
