month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Kerala,state_Odisha,state_Tamil Nadu,state_West Bengal,market_Bobbili,market_Egra/contai,market_Gajapathinagaram,market_Kottarakkara,market_Monday Market,market_Punalur,variety_Cashewnut,variety_Other,year
,,,,,,,,,,1,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,1,,1,,,,,,,2020
,,,,,,,,,,1,,,,1,,1,,,,,1,,2020
,,,,,,,,,,1,,,1,,,,,,1,,,,2020
,,,,,,,,,,1,1,,,,,,,,,1,,,2020
,,,,,,,,,,1,1,,,,,,,,,1,,1,2020
,,,,,,,,,,1,1,,,,,,,1,,,,,2020
,,,,,,,,,1,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,,1,,1,,,,,,,2020
,,,,,,,,,1,,,,,1,,1,,,,,1,,2020
,,,,,,,,,1,,,,1,,,,,,1,,,,2020
,,,,,,,,,1,,1,,,,,,,,,1,,,2020
,,,,,,,,,1,,1,,,,,,,,,1,,1,2020
,,,,,,,,,1,,1,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,,1,,1,,,,,,,2020
,,,,,,,,1,,,,,,1,,1,,,,,1,,2020
,,,,,,,,1,,,,,1,,,,,,1,,,,2020
,,,,,,,,1,,,1,,,,,,,,,1,,,2020
,,,,,,,,1,,,1,,,,,,,,,1,,1,2020
,,,,,,,,1,,,1,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,,,,1,,1,,,,,,,2020
,,,,,,,1,,,,,,,1,,1,,,,,1,,2020
,,,,,,,1,,,,,,1,,,,,,1,,,,2020
,,,,,,,1,,,,1,,,,,,,,,1,,,2020
,,,,,,,1,,,,1,,,,,,,,,1,,1,2020
,,,,,,,1,,,,1,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,,,,1,,1,,,,,,,2020
,,,,,,1,,,,,,,,1,,1,,,,,1,,2020
,,,,,,1,,,,,,,1,,,,,,1,,,,2020
,,,,,,1,,,,,1,,,,,,,,,1,,,2020
,,,,,,1,,,,,1,,,,,,,,,1,,1,2020
,,,,,,1,,,,,1,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,,1,,,,,,,,2020
,,,,,1,,,,,,,,,1,,1,,,,,,,2020
,,,,,1,,,,,,,,,1,,1,,,,,1,,2020
,,,,,1,,,,,,,,1,,,,,,1,,,,2020
,,,,,1,,,,,,1,,,,,,,,,1,,,2020
,,,,,1,,,,,,1,,,,,,,,,1,,1,2020
,,,,,1,,,,,,1,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,,,,1,,1,,,,,,,2020
,,,,1,,,,,,,,,,1,,1,,,,,1,,2020
,,,,1,,,,,,,,,1,,,,,,1,,,,2020
,,,,1,,,,,,,1,,,,,,,,,1,,,2020
,,,,1,,,,,,,1,,,,,,,,,1,,1,2020
,,,,1,,,,,,,1,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,,,,1,,1,,,,,,,2020
,,,1,,,,,,,,,,,1,,1,,,,,1,,2020
,,,1,,,,,,,,,,1,,,,,,1,,,,2020
,,,1,,,,,,,,1,,,,,,,,,1,,,2020
,,,1,,,,,,,,1,,,,,,,,,1,,1,2020
,,,1,,,,,,,,1,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,,,,1,,1,,,,,,,2020
,,1,,,,,,,,,,,,1,,1,,,,,1,,2020
,,1,,,,,,,,,,,1,,,,,,1,,,,2020
,,1,,,,,,,,,1,,,,,,,,,1,,,2020
,,1,,,,,,,,,1,,,,,,,,,1,,1,2020
,,1,,,,,,,,,1,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,,,,1,,1,,,,,,,2020
,1,,,,,,,,,,,,,1,,1,,,,,1,,2020
,1,,,,,,,,,,,,1,,,,,,1,,,,2020
,1,,,,,,,,,,1,,,,,,,,,1,,,2020
,1,,,,,,,,,,1,,,,,,,,,1,,1,2020
,1,,,,,,,,,,1,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,,,,1,,1,,,,,,,2020
1,,,,,,,,,,,,,,1,,1,,,,,1,,2020
1,,,,,,,,,,,,,1,,,,,,1,,,,2020
1,,,,,,,,,,,1,,,,,,,,,1,,,2020
1,,,,,,,,,,,1,,,,,,,,,1,,1,2020
1,,,,,,,,,,,1,,,,,,,1,,,,,2020
