month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Goa,state_Gujarat,state_Karnataka,state_Kerala,state_Maharashtra,state_Meghalaya,state_Odisha,state_Pondicherry,state_Tamil Nadu,state_Telangana,state_West Bengal,market_Anchal,market_Andimadom,market_Angul,market_Athagarh,market_Baghmara,market_Balugaon,market_Banki,market_Bantwala,market_Belthangdi,market_Bhimunipatnam,market_Bijapur,market_Bobbili,market_Canacona,market_Chalakudy,market_Chintamani,market_Chintapally,market_Chirala,market_Curchorem,market_Dadengiri,market_Dammapet,market_Dumal,market_Egra/contai,market_Gajapathinagaram,market_Garobadha,market_Gasuapara,market_Gunpur,market_Hiramandalam,market_Honnavar,market_Hosanagar,market_Irikkur,market_Irityy,market_Jagdalpur,market_Jeypore,market_Jeypore(Kotpad),market_Kalagategi,market_Kalliakavillai,market_Kanchili,market_Kanjangadu,market_Karad,market_Karkala,market_Karwar,market_Kasargod,market_Kasinagar,market_Kattakada,market_Kendupatna,market_Kollam,market_Koppa,market_Koraput,market_Koraput(Semilguda),market_Kottarakkara,market_Kulasekaram,market_Kumta,market_Kundapura,market_Kurupam,market_Kuthuparambu,market_Madikeri,market_Mangalore,market_Manjeri,market_Manjeswaram,market_Mapusa,market_Monday Market,market_Mumbai,market_Nabarangpur(Umerkote),market_Nandagada,market_Narsipatnam,market_Nawarangpur,market_Neeleswaram,market_Nimapara,market_Nippani,market_Paderu,market_Palakonda,market_Parlakhemundi,market_Parvathipuram,market_Pathapatnam,market_Pernem,market_Ponda,market_Punalur,market_Punganur,market_Puttur,market_Rahama,market_Ratnagiri (Nachane),market_Rayagada,market_Rayagada(Muniguda),market_Sagar,market_Sanquelim,market_Shimogga(Theertahalli),market_Sompeta,market_Srinivasapur,market_Sulya,market_Suragana,market_Tekkali,market_Thattanchavady,market_Thirurrangadi,market_Thoduvetty,market_Tuni,market_Tura,market_Vadaseri,market_Vadodara,market_Valpol,market_Yellamanchili,variety_American(Raw) without Shell,variety_Broken Rice,variety_J.H.,variety_Jambu,variety_Kernel,variety_Local(Raw),variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
