month_December,month_February,month_January,month_July,month_June,month_May,month_November,state_Gujarat,state_Madhya Pradesh,state_Rajasthan,state_Tamil Nadu,market_Ichhawar,market_Mandla,market_Palitana,market_Raisingh Nagar,market_Thiryagadurgam,market_Yemmiganur,variety_Other,year
,,,,,,1,,,,,,,,,,1,,2020
,,,,,,1,,,,1,,,,,1,,,2020
,,,,,,1,,,,1,,,,,1,,1,2020
,,,,,,1,,,1,,,,,1,,,,2020
,,,,,,1,,,1,,,,,1,,,1,2020
,,,,,,1,,1,,,,1,,,,,,2020
,,,,,,1,,1,,,,1,,,,,1,2020
,,,,,,1,,1,,,1,,,,,,,2020
,,,,,,1,1,,,,,,1,,,,,2020
,,,,,,1,1,,,,,,1,,,,1,2020
,,,,,1,,,,,,,,,,,1,,2020
,,,,,1,,,,,1,,,,,1,,,2020
,,,,,1,,,,,1,,,,,1,,1,2020
,,,,,1,,,,1,,,,,1,,,,2020
,,,,,1,,,,1,,,,,1,,,1,2020
,,,,,1,,,1,,,,1,,,,,,2020
,,,,,1,,,1,,,,1,,,,,1,2020
,,,,,1,,,1,,,1,,,,,,,2020
,,,,,1,,1,,,,,,1,,,,,2020
,,,,,1,,1,,,,,,1,,,,1,2020
,,,,1,,,,,,,,,,,,1,,2020
,,,,1,,,,,,1,,,,,1,,,2020
,,,,1,,,,,,1,,,,,1,,1,2020
,,,,1,,,,,1,,,,,1,,,,2020
,,,,1,,,,,1,,,,,1,,,1,2020
,,,,1,,,,1,,,,1,,,,,,2020
,,,,1,,,,1,,,,1,,,,,1,2020
,,,,1,,,,1,,,1,,,,,,,2020
,,,,1,,,1,,,,,,1,,,,,2020
,,,,1,,,1,,,,,,1,,,,1,2020
,,,1,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,1,,,,,1,,,2020
,,,1,,,,,,,1,,,,,1,,1,2020
,,,1,,,,,,1,,,,,1,,,,2020
,,,1,,,,,,1,,,,,1,,,1,2020
,,,1,,,,,1,,,,1,,,,,,2020
,,,1,,,,,1,,,,1,,,,,1,2020
,,,1,,,,,1,,,1,,,,,,,2020
,,,1,,,,1,,,,,,1,,,,,2020
,,,1,,,,1,,,,,,1,,,,1,2020
,,1,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,1,,,,,1,,,2020
,,1,,,,,,,,1,,,,,1,,1,2020
,,1,,,,,,,1,,,,,1,,,,2020
,,1,,,,,,,1,,,,,1,,,1,2020
,,1,,,,,,1,,,,1,,,,,,2020
,,1,,,,,,1,,,,1,,,,,1,2020
,,1,,,,,,1,,,1,,,,,,,2020
,,1,,,,,1,,,,,,1,,,,,2020
,,1,,,,,1,,,,,,1,,,,1,2020
,1,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,1,,,,,1,,,2020
,1,,,,,,,,,1,,,,,1,,1,2020
,1,,,,,,,,1,,,,,1,,,,2020
,1,,,,,,,,1,,,,,1,,,1,2020
,1,,,,,,,1,,,,1,,,,,,2020
,1,,,,,,,1,,,,1,,,,,1,2020
,1,,,,,,,1,,,1,,,,,,,2020
,1,,,,,,1,,,,,,1,,,,,2020
,1,,,,,,1,,,,,,1,,,,1,2020
1,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,1,,,,,1,,,2020
1,,,,,,,,,,1,,,,,1,,1,2020
1,,,,,,,,,1,,,,,1,,,,2020
1,,,,,,,,,1,,,,,1,,,1,2020
1,,,,,,,,1,,,,1,,,,,,2020
1,,,,,,,,1,,,,1,,,,,1,2020
1,,,,,,,,1,,,1,,,,,,,2020
1,,,,,,,1,,,,,,1,,,,,2020
1,,,,,,,1,,,,,,1,,,,1,2020
