month_August,month_December,month_February,month_January,month_June,month_March,month_May,month_November,month_September,state_Punjab,state_Rajasthan,market_Firozepur City,market_Hissar,market_Makhu,market_Meham,market_Sriganganagar (F&V),market_kalanwali,variety_Other,year
,,,,,,,,1,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,1,1,2020
,,,,,,,,1,,,,,,1,,,,2020
,,,,,,,,1,,,,,,1,,,1,2020
,,,,,,,,1,,,,1,,,,,,2020
,,,,,,,,1,,,,1,,,,,1,2020
,,,,,,,,1,,1,,,,,1,,,2020
,,,,,,,,1,,1,,,,,1,,1,2020
,,,,,,,,1,1,,,,1,,,,,2020
,,,,,,,,1,1,,,,1,,,,1,2020
,,,,,,,,1,1,,1,,,,,,,2020
,,,,,,,,1,1,,1,,,,,,1,2020
,,,,,,,1,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,1,1,2020
,,,,,,,1,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,1,,,1,2020
,,,,,,,1,,,,,1,,,,,,2020
,,,,,,,1,,,,,1,,,,,1,2020
,,,,,,,1,,,1,,,,,1,,,2020
,,,,,,,1,,,1,,,,,1,,1,2020
,,,,,,,1,,1,,,,1,,,,,2020
,,,,,,,1,,1,,,,1,,,,1,2020
,,,,,,,1,,1,,1,,,,,,,2020
,,,,,,,1,,1,,1,,,,,,1,2020
,,,,,,1,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,1,1,2020
,,,,,,1,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,1,,,1,2020
,,,,,,1,,,,,,1,,,,,,2020
,,,,,,1,,,,,,1,,,,,1,2020
,,,,,,1,,,,1,,,,,1,,,2020
,,,,,,1,,,,1,,,,,1,,1,2020
,,,,,,1,,,1,,,,1,,,,,2020
,,,,,,1,,,1,,,,1,,,,1,2020
,,,,,,1,,,1,,1,,,,,,,2020
,,,,,,1,,,1,,1,,,,,,1,2020
,,,,,1,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,,1,1,2020
,,,,,1,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,1,,,1,2020
,,,,,1,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,1,,,,,1,2020
,,,,,1,,,,,1,,,,,1,,,2020
,,,,,1,,,,,1,,,,,1,,1,2020
,,,,,1,,,,1,,,,1,,,,,2020
,,,,,1,,,,1,,,,1,,,,1,2020
,,,,,1,,,,1,,1,,,,,,,2020
,,,,,1,,,,1,,1,,,,,,1,2020
,,,,1,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,,1,1,2020
,,,,1,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,1,,,1,2020
,,,,1,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,1,,,,,1,2020
,,,,1,,,,,,1,,,,,1,,,2020
,,,,1,,,,,,1,,,,,1,,1,2020
,,,,1,,,,,1,,,,1,,,,,2020
,,,,1,,,,,1,,,,1,,,,1,2020
,,,,1,,,,,1,,1,,,,,,,2020
,,,,1,,,,,1,,1,,,,,,1,2020
,,,1,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,,1,1,2020
,,,1,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,1,,,1,2020
,,,1,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,1,,,,,1,2020
,,,1,,,,,,,1,,,,,1,,,2020
,,,1,,,,,,,1,,,,,1,,1,2020
,,,1,,,,,,1,,,,1,,,,,2020
,,,1,,,,,,1,,,,1,,,,1,2020
,,,1,,,,,,1,,1,,,,,,,2020
,,,1,,,,,,1,,1,,,,,,1,2020
,,1,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,1,1,2020
,,1,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,1,,,1,2020
,,1,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,1,,,,,1,2020
,,1,,,,,,,,1,,,,,1,,,2020
,,1,,,,,,,,1,,,,,1,,1,2020
,,1,,,,,,,1,,,,1,,,,,2020
,,1,,,,,,,1,,,,1,,,,1,2020
,,1,,,,,,,1,,1,,,,,,,2020
,,1,,,,,,,1,,1,,,,,,1,2020
,1,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,1,1,2020
,1,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,1,,,1,2020
,1,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,1,,,,,1,2020
,1,,,,,,,,,1,,,,,1,,,2020
,1,,,,,,,,,1,,,,,1,,1,2020
,1,,,,,,,,1,,,,1,,,,,2020
,1,,,,,,,,1,,,,1,,,,1,2020
,1,,,,,,,,1,,1,,,,,,,2020
,1,,,,,,,,1,,1,,,,,,1,2020
1,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,1,1,2020
1,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,1,,,1,2020
1,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,1,,,,,1,2020
1,,,,,,,,,,1,,,,,1,,,2020
1,,,,,,,,,,1,,,,,1,,1,2020
1,,,,,,,,,1,,,,1,,,,,2020
1,,,,,,,,,1,,,,1,,,,1,2020
1,,,,,,,,,1,,1,,,,,,,2020
1,,,,,,,,,1,,1,,,,,,1,2020
