month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,market_Kattappana,market_Munnar,market_Nedumkandam,market_Perinthalmanna,market_Thodupuzha,year
,,,,,,,,,,1,,,,,1,2020
,,,,,,,,,,1,,,,1,,2020
,,,,,,,,,,1,,,1,,,2020
,,,,,,,,,,1,,1,,,,2020
,,,,,,,,,,1,1,,,,,2020
,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,1,,,,,1,,2020
,,,,,,,,,1,,,,1,,,2020
,,,,,,,,,1,,,1,,,,2020
,,,,,,,,,1,,1,,,,,2020
,,,,,,,,1,,,,,,,1,2020
,,,,,,,,1,,,,,,1,,2020
,,,,,,,,1,,,,,1,,,2020
,,,,,,,,1,,,,1,,,,2020
,,,,,,,,1,,,1,,,,,2020
,,,,,,,1,,,,,,,,1,2020
,,,,,,,1,,,,,,,1,,2020
,,,,,,,1,,,,,,1,,,2020
,,,,,,,1,,,,,1,,,,2020
,,,,,,,1,,,,1,,,,,2020
,,,,,,1,,,,,,,,,1,2020
,,,,,,1,,,,,,,,1,,2020
,,,,,,1,,,,,,,1,,,2020
,,,,,,1,,,,,,1,,,,2020
,,,,,,1,,,,,1,,,,,2020
,,,,,1,,,,,,,,,,1,2020
,,,,,1,,,,,,,,,1,,2020
,,,,,1,,,,,,,,1,,,2020
,,,,,1,,,,,,,1,,,,2020
,,,,,1,,,,,,1,,,,,2020
,,,,1,,,,,,,,,,,1,2020
,,,,1,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,1,,,2020
,,,,1,,,,,,,,1,,,,2020
,,,,1,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,1,,,,2020
,,,1,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,1,,,,,2020
