month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Gujarat,state_Haryana,state_Jharkhand,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Odisha,state_Pondicherry,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,state_Uttrakhand,state_West Bengal,market_Aatpadi,market_Adilabad(Rythu Bazar),market_Agar,market_Ahmednagar,market_Ahmedpur,market_Akkalkot,market_Alappuzha,market_Amalner,market_Ambejaogai,market_Ambikapur,market_Amreli,market_Anjar,market_Anta,market_Arasikere,market_Ariyalur Market,market_Aroor,market_Atru,market_Ausa,market_Bachau,market_Badod,market_Bagepalli,market_Bagru,market_Baikunthpur,market_Bangalore,market_Baparwarkala (Kota) (Grain),market_Baran,market_Barshi,market_Beed,market_Bellary,market_Bemetara,market_Bethuadahari,market_Bhadravathi,market_Bhagat Ki Kothi,market_Bhandara,market_Bhanpura,market_Bhanvad,market_Bhatapara,market_Bhavnagar,market_Bhawani Mandi,market_Bhawani Mandi(Raipur),market_Bhind,market_Bhiwapur,market_Biaora,market_Bidar,market_Bikaner (Grain),market_Binaganj,market_Bohorihat,market_Botad,market_Bundi,market_Byadagi,market_Chakdah,market_Challakere,market_Chamaraj Nagar,market_Chanthroor,market_Chattrapati Sambhajinagar,market_Chechat,market_Chengannur,market_Chhabra,market_Chhapiheda,market_Chhipabarod (Chhabra),market_Chickkaballapura,market_Chintamani,market_Choumahla,market_Dahod,market_Dasada Patadi,market_Davangere,market_Deesa,market_Deesa(Deesa Veg Yard),market_Dei,market_Devala,market_Dewas,market_Dharashiv,market_Dharmabad,market_Dhoraji,market_Doddaballa Pur,market_Dudhani,market_Gadag,market_Gadarwada,market_Gadhwah,market_Garoth,market_Gondal,market_Goreswar,market_Gotegaon,market_Gowribidanoor,market_Gulabpura,market_Guna,market_Haldwani,market_Halvad,market_Harippad,market_Hassan,market_Hinganghat,market_Hoskote,market_Hubli (Amaragol),market_Iklera,market_Indapur(Bhigwan),market_Indore,market_Indore(F&V),market_Itawa,market_Jabalpur,market_Jaipur (Grain),market_Jaipur(Grain)(Chandpole),market_Jajpur,market_Jalgaon,market_Jalgaon(Masawat),market_Jam Jodhpur,market_Jam Khambalia,market_Jamkhed,market_Jamnagar,market_Jaspur,market_Javad,market_Jaysingpur,market_Jetpur(Dist.Rajkot),market_Jhalarapatan,market_Jodhpur (Grain),market_Junagadh,market_K.R.Nagar,market_Kada,market_Kadur,market_Kaij,market_Kalamb (Dharashiv),market_Kalapipal,market_Kalawad,market_Kalvan,market_Kalyan,market_Kamthi,market_Kanakapura,market_Karad,market_Karimpur,market_Kawai Salpura (Atru),market_Kekri,market_Kesamudram,market_Keshoraipatan,market_Khanapur,market_Khanpur,market_Kharupetia,market_Khilchipur,market_Khujner,market_Kille Dharur,market_Kolar,market_Kollam,market_Kondotty,market_Koregaon,market_Kota,market_Kotma,market_Kumbhraj,market_Kundagol,market_Kundapura,market_Kunkuri,market_Kurawar,market_Lakhandur,market_Lakshar,market_Lasalgaon,market_Lateri,market_Latur,market_Laxmeshwar,market_Machalpur,market_Mahidpur,market_Maksudangarh,market_Malpura,market_Malpura(Todaraisingh),market_Manasa,market_Mandsaur,market_Manendragarh,market_Mansa,market_Momanbadodiya,market_Mumbai,market_Munguli,market_Mysore (Bandipalya),market_Nagamangala,market_Nagari,market_Nagpur,market_Nalkehda,market_Nanded,market_Nanjangud,market_Naraingarh,market_Narsinghgarh,market_Nashik(Devlali),market_Neemuch,market_Nippani,market_Pachaur,market_Pachora(Bhadgaon),market_Palitana,market_Parikshitgarh,market_Pathalgaon,market_Pethappampatti,market_Pipariya,market_Piplya,market_Piprai,market_Porbandar,market_Pratapgarh,market_Punalur,market_Pune,market_Raghogarh,market_Rajkot,market_Ramanagara,market_Ramanujganj,market_Ramgang Mandi(Samod),market_Ramganjmandi,market_Ramnagar,market_Ramtek,market_Rishikesh,market_Roorkee,market_Sakaleshpura,market_Sangamner,market_Sangli,market_Sawai Madhopur,market_Shajapur,market_Shamgarh,market_Sheopurbadod,market_Sheopurkalan,market_Shimoga,market_Shirur,market_Shrirampur(Belapur),market_Sinner,market_Sitapur,market_Sitmau,market_Sumerganj,market_Susner,market_Suvasra,market_Taleja,market_Tanakpur,market_Tarikere,market_Thattanchavady,market_Thiruppur,market_Timarni,market_Tittakudi,market_Tonk,market_Udumalpet,market_Ujjain,market_Ulundurpettai,market_Umared,market_Umarga,market_Upleta,market_Vadodara,market_Vaduj,market_Vellore,market_Vijaynagar,market_Vikasnagar,market_Vilathikulam,market_Virudhachalam,market_Visavadar,market_Yawal,variety_Badami Steam,variety_Coriander Seed,variety_Eagle,variety_Full Green,variety_Medium Green,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
