month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Gujarat,state_Haryana,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Meghalaya,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Tripura,state_Uttrakhand,market_Ahmednagar,market_Alappuzha,market_Alur,market_Amalner,market_Anaimalai,market_Anthiyur,market_Ariyalur Market,market_Bagalakot,market_Bagalkot(Bilagi),market_Bagepalli,market_Bagru,market_Bangarpet,market_Barshi,market_Bazpur,market_Beed,market_Bhavnagar,market_Bhilwara,market_Bhokar,market_Bhusaval,market_Bijapur,market_Borsad,market_Buldhana(Dhad),market_Chalisgaon,market_Chamaraj Nagar,market_Champaknagar,market_Channarayapatna,market_Chanthroor,market_Chattrapati Sambhajinagar,market_Chengannur,market_Cherthala,market_Chethupattu,market_Cheyyar,market_Chirawa,market_Churu,market_Dahod,market_Deedwana,market_Deesa(Bhildi),market_Degana,market_Deoulgaon Raja,market_Devala,market_Dhanera,market_Dharwar,market_Dhule,market_Dondaicha,market_Dound,market_Ernakulam,market_Ettumanoor,market_Fatehpur,market_Gadag,market_Gangapur,market_Gowribidanoor,market_H.B. Halli,market_Haldwani,market_Harappana Halli,market_Harippad,market_Haveri,market_Hoovinahadagali,market_Huliyar,market_Indapur,market_Indapur(Bhigwan),market_Itawa,market_Jagalur,market_Jaipur(Grain)(Chandpole),market_Jalana,market_Jalgaon,market_Jalgaon Jamod(Aasalgaon),market_Jam Khambalia,market_Jammikunta,market_Jamner,market_Jamner(Neri),market_Jetpur(Dist.Rajkot),market_Jhunjhunu,market_K.R. Pet,market_K.R.Nagar,market_Kada,market_Kadi,market_Kadur,market_Kalagategi,market_Kalburgi,market_Kanjangadu,market_Karimnagar,market_Kasrawad,market_Kattakada,market_Kesamudram,market_Kharsiya,market_Koduvayoor,market_Kolhapur,market_Kolhapur(Laxmipuri),market_Kollam,market_Kollegal,market_Kondotty,market_Koppal,market_Koregaon,market_Kota,market_Kottarakkara,market_Kottayam,market_Kottur,market_Kuchaman City,market_Kundagol,market_Kustagi,market_Lalpur,market_Laxmeshwar,market_Lonand,market_Madanganj Kishangarh,market_Mahabubabad,market_Mahbubnagar(Nawabpet),market_Malegaon,market_Malkapur,market_Manathavady,market_Manchar,market_Mandvi,market_Merta City,market_Motala,market_Mumbai,market_Mumbai- Fruit Market,market_Mysore (Bandipalya),market_Nagamangala,market_Nandurbar,market_Nanjangud,market_Nasik,market_Nawalgarh,market_Nedumangadu,market_Neeleswaram,market_Neem Ka Thana,market_Neemuch,market_Pampady,market_Pandavapura,market_Parner,market_Parola,market_Pavagada,market_Piriya Pattana,market_Punalur,market_Raichur,market_Ramanagara,market_Ramdurga,market_Ramnagar,market_Ranebennur,market_Rani,market_Raver,market_Rishikesh,market_Roorkee,market_S.Mandvi,market_Sadulpur,market_Sakaleshpura,market_Sakri,market_Samalkha,market_Sangamner,market_Santhesargur,market_Sasthamkotta,market_Satana,market_Shahada,market_Shamgarh,market_Shiggauv,market_Shikaripura,market_Shirpur,market_Shirur,market_Shrigonda,market_Shrirampur,market_Siddipet,market_Sikar,market_Sindagi,market_Sinner,market_Sira,market_Soundati,market_Srirangapattana,market_Sujangarh,market_Surajgarh,market_Surajpur,market_Suryapeta,market_Susner,market_Tarikere,market_Tindivanam,market_Tiptur,market_Tumkur,market_Tura,market_Turvekere,market_Udumalpet,market_Ulundurpettai,market_Upleta,market_Vadakkenchery,market_Vaduj,market_Vaijpur,market_Vellore,market_Vikasnagar,market_Virudhachalam,market_Visavadar,market_Wadakkanchery,market_Warangal,market_Yalburga,market_Yeola,market_vadakarapathy,variety_Cowpea (Whole),variety_Cowpea Dal (Split),variety_Farm,variety_Imported,variety_Jawari/Local,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
