month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Jharkhand,state_Kerala,state_Rajasthan,state_Tamil Nadu,market_Deesa(Deesa Veg Yard),market_Gharaunda,market_Jodhpur (F&V),market_Katpadi(Uzhavar Santhai),market_Kondotty,market_Perinthalmanna,market_Sahebganj,market_Tarori,market_kalanwali,variety_Other,year
,,,,,,,,,1,,,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,,,,,1,,,,,,,,,1,2020
,,,,,,,,,1,,,,,1,,,,1,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,1,,,,,,1,2020
,,,,,,,,,1,,,,1,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,1,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,1,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,1,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,1,,,,2020
,,,,,,,,,1,1,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,1,,,,,,,,,,,,,1,1,2020
,,,,,,,,,1,1,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,1,,,,,,,,,,,,1,,1,2020
,,,,,,,,,1,1,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,1,,,,,,1,,,,,,,,1,2020
,,,,,,,,1,,,,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,,,,,1,,,,,,,,,1,2020
,,,,,,,,1,,,,,,1,,,,1,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,1,,,,,,1,2020
,,,,,,,,1,,,,,1,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,1,,,,,,,1,2020
,,,,,,,,1,,,,1,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,1,,,,1,2020
,,,,,,,,1,,,,1,,,,,,,1,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,1,,,,2020
,,,,,,,,1,,1,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,1,,,,,,,,,,,,,1,1,2020
,,,,,,,,1,,1,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,1,,,,,,,,,,,,1,,1,2020
,,,,,,,,1,,1,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,1,,,,,,1,,,,,,,,1,2020
,,,,,,,1,,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,,,,,1,,,,,,,,,1,2020
,,,,,,,1,,,,,,,1,,,,1,,,,,,,2020
