month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Uttar Pradesh,market_Fatehpur Sikri,market_Ghaziabad,market_Hindoun,market_Kherli,market_Mandawari,market_Meerut,market_Nadwai,market_Nagar,market_Sikanderabad,year
,,,,,,,,,,1,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,1,,,,2020
,,,,,,,,,,1,1,,1,,,,,,,,2020
,,,,,,,,,,1,1,1,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,1,,,,,2020
,,,,,,,,,1,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,1,,,,2020
,,,,,,,,,1,,1,,1,,,,,,,,2020
,,,,,,,,,1,,1,1,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,1,,,,2020
,,,,,,,,1,,,1,,1,,,,,,,,2020
,,,,,,,,1,,,1,1,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,1,,,,2020
,,,,,,,1,,,,1,,1,,,,,,,,2020
,,,,,,,1,,,,1,1,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,1,,,,2020
,,,,,,1,,,,,1,,1,,,,,,,,2020
,,,,,,1,,,,,1,1,,,,,,,,,2020
,,,,,1,,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,1,,,,2020
,,,,,1,,,,,,1,,1,,,,,,,,2020
,,,,,1,,,,,,1,1,,,,,,,,,2020
,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,1,,,,2020
,,,,1,,,,,,,1,,1,,,,,,,,2020
,,,,1,,,,,,,1,1,,,,,,,,,2020
,,,1,,,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,1,,,,2020
,,,1,,,,,,,,1,,1,,,,,,,,2020
,,,1,,,,,,,,1,1,,,,,,,,,2020
,,1,,,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,1,2020
,,1,,,,,,,,,1,,,,,,1,,,,2020
,,1,,,,,,,,,1,,1,,,,,,,,2020
,,1,,,,,,,,,1,1,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,1,2020
,1,,,,,,,,,,1,,,,,,1,,,,2020
,1,,,,,,,,,,1,,1,,,,,,,,2020
,1,,,,,,,,,,1,1,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,1,,,,2020
1,,,,,,,,,,,1,,1,,,,,,,,2020
1,,,,,,,,,,,1,1,,,,,,,,,2020
