month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_NCT of Delhi,"market_Fodder Market, Mangolpuri",market_Sirsa,variety_Other,year
,,,,,,,,,,1,,,1,,2020
,,,,,,,,,,1,,,1,1,2020
,,,,,,,,,,1,1,1,,,2020
,,,,,,,,,,1,1,1,,1,2020
,,,,,,,,,1,,,,1,,2020
,,,,,,,,,1,,,,1,1,2020
,,,,,,,,,1,,1,1,,,2020
,,,,,,,,,1,,1,1,,1,2020
,,,,,,,,1,,,,,1,,2020
,,,,,,,,1,,,,,1,1,2020
,,,,,,,,1,,,1,1,,,2020
,,,,,,,,1,,,1,1,,1,2020
,,,,,,,1,,,,,,1,,2020
,,,,,,,1,,,,,,1,1,2020
,,,,,,,1,,,,1,1,,,2020
,,,,,,,1,,,,1,1,,1,2020
,,,,,,1,,,,,,,1,,2020
,,,,,,1,,,,,,,1,1,2020
,,,,,,1,,,,,1,1,,,2020
,,,,,,1,,,,,1,1,,1,2020
,,,,,1,,,,,,,,1,,2020
,,,,,1,,,,,,,,1,1,2020
,,,,,1,,,,,,1,1,,,2020
,,,,,1,,,,,,1,1,,1,2020
,,,,1,,,,,,,,,1,,2020
,,,,1,,,,,,,,,1,1,2020
,,,,1,,,,,,,1,1,,,2020
,,,,1,,,,,,,1,1,,1,2020
,,,1,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,1,1,2020
,,,1,,,,,,,,1,1,,,2020
,,,1,,,,,,,,1,1,,1,2020
,,1,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,1,1,2020
,,1,,,,,,,,,1,1,,,2020
,,1,,,,,,,,,1,1,,1,2020
,1,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,1,1,2020
,1,,,,,,,,,,1,1,,,2020
,1,,,,,,,,,,1,1,,1,2020
1,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,1,1,2020
1,,,,,,,,,,,1,1,,,2020
1,,,,,,,,,,,1,1,,1,2020
