month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Kerala,state_Maharashtra,market_Chattrapati Sambhajinagar,market_Harippad,market_Kollam,market_Pandharpur,market_Punalur,market_Sangli,market_Tasgaon,variety_Other,year
,,,,,,,,,,1,,1,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,1,1,2020
,,,,,,,,,,1,,1,,,,,,1,,,2020
,,,,,,,,,,1,,1,,,,,,1,,1,2020
,,,,,,,,,,1,,1,,,,1,,,,,2020
,,,,,,,,,,1,,1,,,,1,,,,1,2020
,,,,,,,,,,1,,1,1,,,,,,,,2020
,,,,,,,,,,1,,1,1,,,,,,,1,2020
,,,,,,,,,,1,1,,,,,,1,,,,2020
,,,,,,,,,,1,1,,,,,,1,,,1,2020
,,,,,,,,,,1,1,,,,1,,,,,,2020
,,,,,,,,,,1,1,,,,1,,,,,1,2020
,,,,,,,,,,1,1,,,1,,,,,,,2020
,,,,,,,,,,1,1,,,1,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,1,1,2020
,,,,,,,,,1,,,1,,,,,,1,,,2020
,,,,,,,,,1,,,1,,,,,,1,,1,2020
,,,,,,,,,1,,,1,,,,1,,,,,2020
,,,,,,,,,1,,,1,,,,1,,,,1,2020
,,,,,,,,,1,,,1,1,,,,,,,,2020
,,,,,,,,,1,,,1,1,,,,,,,1,2020
,,,,,,,,,1,,1,,,,,,1,,,,2020
,,,,,,,,,1,,1,,,,,,1,,,1,2020
,,,,,,,,,1,,1,,,,1,,,,,,2020
,,,,,,,,,1,,1,,,,1,,,,,1,2020
,,,,,,,,,1,,1,,,1,,,,,,,2020
,,,,,,,,,1,,1,,,1,,,,,,1,2020
,,,,,,,,1,,,,1,,,,,,,1,,2020
,,,,,,,,1,,,,1,,,,,,,1,1,2020
,,,,,,,,1,,,,1,,,,,,1,,,2020
,,,,,,,,1,,,,1,,,,,,1,,1,2020
,,,,,,,,1,,,,1,,,,1,,,,,2020
,,,,,,,,1,,,,1,,,,1,,,,1,2020
,,,,,,,,1,,,,1,1,,,,,,,,2020
,,,,,,,,1,,,,1,1,,,,,,,1,2020
,,,,,,,,1,,,1,,,,,,1,,,,2020
,,,,,,,,1,,,1,,,,,,1,,,1,2020
,,,,,,,,1,,,1,,,,1,,,,,,2020
,,,,,,,,1,,,1,,,,1,,,,,1,2020
,,,,,,,,1,,,1,,,1,,,,,,,2020
,,,,,,,,1,,,1,,,1,,,,,,1,2020
,,,,,,,1,,,,,1,,,,,,,1,,2020
,,,,,,,1,,,,,1,,,,,,,1,1,2020
,,,,,,,1,,,,,1,,,,,,1,,,2020
,,,,,,,1,,,,,1,,,,,,1,,1,2020
,,,,,,,1,,,,,1,,,,1,,,,,2020
,,,,,,,1,,,,,1,,,,1,,,,1,2020
,,,,,,,1,,,,,1,1,,,,,,,,2020
,,,,,,,1,,,,,1,1,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,1,,,,2020
,,,,,,,1,,,,1,,,,,,1,,,1,2020
,,,,,,,1,,,,1,,,,1,,,,,,2020
,,,,,,,1,,,,1,,,,1,,,,,1,2020
,,,,,,,1,,,,1,,,1,,,,,,,2020
,,,,,,,1,,,,1,,,1,,,,,,1,2020
,,,,,,1,,,,,,1,,,,,,,1,,2020
,,,,,,1,,,,,,1,,,,,,,1,1,2020
,,,,,,1,,,,,,1,,,,,,1,,,2020
,,,,,,1,,,,,,1,,,,,,1,,1,2020
,,,,,,1,,,,,,1,,,,1,,,,,2020
,,,,,,1,,,,,,1,,,,1,,,,1,2020
,,,,,,1,,,,,,1,1,,,,,,,,2020
,,,,,,1,,,,,,1,1,,,,,,,1,2020
,,,,,,1,,,,,1,,,,,,1,,,,2020
,,,,,,1,,,,,1,,,,,,1,,,1,2020
,,,,,,1,,,,,1,,,,1,,,,,,2020
,,,,,,1,,,,,1,,,,1,,,,,1,2020
,,,,,,1,,,,,1,,,1,,,,,,,2020
,,,,,,1,,,,,1,,,1,,,,,,1,2020
,,,,,1,,,,,,,1,,,,,,,1,,2020
,,,,,1,,,,,,,1,,,,,,,1,1,2020
,,,,,1,,,,,,,1,,,,,,1,,,2020
,,,,,1,,,,,,,1,,,,,,1,,1,2020
,,,,,1,,,,,,,1,,,,1,,,,,2020
,,,,,1,,,,,,,1,,,,1,,,,1,2020
,,,,,1,,,,,,,1,1,,,,,,,,2020
,,,,,1,,,,,,,1,1,,,,,,,1,2020
,,,,,1,,,,,,1,,,,,,1,,,,2020
,,,,,1,,,,,,1,,,,,,1,,,1,2020
,,,,,1,,,,,,1,,,,1,,,,,,2020
,,,,,1,,,,,,1,,,,1,,,,,1,2020
,,,,,1,,,,,,1,,,1,,,,,,,2020
,,,,,1,,,,,,1,,,1,,,,,,1,2020
,,,,1,,,,,,,,1,,,,,,,1,,2020
,,,,1,,,,,,,,1,,,,,,,1,1,2020
,,,,1,,,,,,,,1,,,,,,1,,,2020
,,,,1,,,,,,,,1,,,,,,1,,1,2020
,,,,1,,,,,,,,1,,,,1,,,,,2020
,,,,1,,,,,,,,1,,,,1,,,,1,2020
,,,,1,,,,,,,,1,1,,,,,,,,2020
,,,,1,,,,,,,,1,1,,,,,,,1,2020
,,,,1,,,,,,,1,,,,,,1,,,,2020
,,,,1,,,,,,,1,,,,,,1,,,1,2020
,,,,1,,,,,,,1,,,,1,,,,,,2020
,,,,1,,,,,,,1,,,,1,,,,,1,2020
,,,,1,,,,,,,1,,,1,,,,,,,2020
,,,,1,,,,,,,1,,,1,,,,,,1,2020
,,,1,,,,,,,,,1,,,,,,,1,,2020
,,,1,,,,,,,,,1,,,,,,,1,1,2020
,,,1,,,,,,,,,1,,,,,,1,,,2020
,,,1,,,,,,,,,1,,,,,,1,,1,2020
,,,1,,,,,,,,,1,,,,1,,,,,2020
,,,1,,,,,,,,,1,,,,1,,,,1,2020
,,,1,,,,,,,,,1,1,,,,,,,,2020
,,,1,,,,,,,,,1,1,,,,,,,1,2020
,,,1,,,,,,,,1,,,,,,1,,,,2020
,,,1,,,,,,,,1,,,,,,1,,,1,2020
,,,1,,,,,,,,1,,,,1,,,,,,2020
,,,1,,,,,,,,1,,,,1,,,,,1,2020
,,,1,,,,,,,,1,,,1,,,,,,,2020
,,,1,,,,,,,,1,,,1,,,,,,1,2020
,,1,,,,,,,,,,1,,,,,,,1,,2020
,,1,,,,,,,,,,1,,,,,,,1,1,2020
,,1,,,,,,,,,,1,,,,,,1,,,2020
,,1,,,,,,,,,,1,,,,,,1,,1,2020
,,1,,,,,,,,,,1,,,,1,,,,,2020
,,1,,,,,,,,,,1,,,,1,,,,1,2020
,,1,,,,,,,,,,1,1,,,,,,,,2020
,,1,,,,,,,,,,1,1,,,,,,,1,2020
,,1,,,,,,,,,1,,,,,,1,,,,2020
,,1,,,,,,,,,1,,,,,,1,,,1,2020
,,1,,,,,,,,,1,,,,1,,,,,,2020
,,1,,,,,,,,,1,,,,1,,,,,1,2020
,,1,,,,,,,,,1,,,1,,,,,,,2020
,,1,,,,,,,,,1,,,1,,,,,,1,2020
,1,,,,,,,,,,,1,,,,,,,1,,2020
,1,,,,,,,,,,,1,,,,,,,1,1,2020
