month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Odisha,state_Tripura,state_West Bengal,market_Dasda,market_Jumpuijala,market_Kalyanpur,market_Kulai,market_Melaghar,market_Mohanpur,market_Nawarangpur,market_Pabiacherra,market_Pasighat,market_Samsi,market_Teliamura,variety_Katla(Big),variety_Local,variety_Mangoor,variety_Other,variety_Rahu(Local),variety_Zinga(Zambo-C),year
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,1,,,2020
,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,1,,,,,1,,,,,2020
,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,2020
,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,1,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,1,,,,,,1,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,2020
