month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Himachal Pradesh,state_Karnataka,state_Kerala,state_Maharashtra,state_Meghalaya,state_Punjab,market_Alappuzha,market_Aluva,market_Anand,"market_Anand(Veg,Yard,Anand)",market_Anchal,market_Angamaly,market_Anklav,market_Ankleshwar,market_Arasikere,market_Aroor,market_Athirampuzha,market_Bahadurgarh,market_Banur,market_Bharuch,market_Bilaspur,market_Bilimora,market_Chala,market_Chalakudy,market_Chanthroor,market_Chavakkad,market_Chelakkara,market_Cherthala,market_Dahod(Veg. Market),market_Ernakulam,market_Ettumanoor,market_Ezhamkulam,market_Hamirpur,market_Hamirpur(Nadaun),market_Harippad,market_Huliyar,market_Irinjalakkuda,market_Jowai,market_Junagadh,market_Kalpetta,market_Kalyan,market_Kamthi,market_Kanjangadu,market_Kanjirappally,market_Kattakada,market_Kodumgalloor,market_Kodungalloor,market_Koduvayoor,market_Kollengode,market_Kothamangalam,market_Kottarakkara,market_Kullu,market_Kurali,market_Kuruppanthura,market_Kuttoor,market_Ludhiana,market_Manjeri,market_Moovattupuzha,market_Mukkom,market_Mumbai,market_Nadiad,market_Nadiyad(Piplag),market_Nedumangadu,market_Nedumkandam,market_Padra,market_Palakkad,market_Palayam,market_Pampady,market_Pandalam,market_Parakkodu,market_Parappanangadi,market_Parassala,market_Pattambi,market_Perumbavoor,"market_Petlad(Veg Yard, Petlad)",market_Piravam,market_Pothencode,market_Punalur,market_Pune,market_Pune(Khadiki),market_Quilandy,market_Ramtek,market_Ranniangadi,market_Santoshgarh,market_Sasthamkotta,market_Siddapur,market_Siddhpur,market_Sira,market_Sirhind,market_Surat,market_Thalayolaparambu,market_Thamarassery,market_Thirurrangadi,market_Thrissur,market_Una,market_Vadakkenchery,market_Vadhvan,market_Vadodara(Sayajipura),market_Vamanapuram,market_Vengeri(Kozhikode),market_Wadakkanchery,market_Yamuna Nagar,market_vadakarapathy,variety_Field Pea,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2020
