month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Arunachal Pradesh,state_Assam,state_Bihar,state_Haryana,state_Jharkhand,state_Kerala,state_Meghalaya,state_Mizoram,state_NCT of Delhi,state_Odisha,state_Rajasthan,state_Tripura,state_Uttar Pradesh,state_Uttrakhand,state_West Bengal,market_Atarra,market_Attabira,market_Balugaon,market_Banda,market_Baripada,market_Barpathari,market_Betnoti,market_Bhadrak,market_Bilsi,market_Bishalgarh,market_Bolangir,market_Bongiagaon,market_Boudh,market_Cachar,market_Champaknagar,market_Champhai,market_Chandabali,market_Chanthroor,market_Charkhari,market_Chowmanu,market_Dasda,market_Deogarh,market_Dhanbad,market_Dhing,market_Diamond Harbour,market_Diamond Harbour(South 24-pgs),market_Dibrugarh,market_Ding,market_Faridabad(Fish Market),"market_Fish,Poultry & Egg Market, Gazipur",market_Gandacharra,market_Garjee,market_Godabhaga,market_Gunpur,market_Howly,market_Jagadhri,market_Jagatsinghpur,market_Jaleswar,market_Jhansi,market_Jhargram,market_Jumpuijala,market_Kalsi,market_Kalyanpur,market_Karanjia,market_Kattakada,market_Kendrapara,market_Kendrapara(Marshaghai),market_Kendupatna,market_Kendupatna(Niali),market_Keonjhar(Dhekikote),market_Kesinga,market_Kicchha,market_Koraput,market_Koraput(Semilguda),market_Kulai,market_Lohardaga,market_Lungli,market_Malkanagiri,market_Malkangiri(Korakunda),market_Mangalagiri,market_Melaghar,market_Midnapore Sadar,market_Mohanpur,market_Nabarangpur(Umerkote),market_Nawarangpur,market_New Market Aizawl,market_Nimapara,market_Nutanbazar,market_P.O. Uparhali Guwahati,market_Pabiacherra,market_Panipat,market_Panipat(Fish Market),market_Panposh,market_Parlakhemundi,market_Pasighat,market_Patna (Musallahpur),market_Puri(Brahmagiri),market_Rahama,market_Rishikesh,market_Roorkee,market_Saharpada,market_Sahidngar,market_Samsi,market_Santir Bazar,market_Saraskana,market_Sargipali,market_Shillong,market_Silachhari,market_Sonamura,market_Talcher,market_Teliamura,market_Tikabali,market_Tileibani,market_Tinsukia,market_Udala,market_Vijaynagar,variety_Black Dom,variety_Blue Dom,variety_Chilwa,variety_Fish,variety_Halwa,variety_Hilsa,variety_Katla (Small),variety_Katla(Big),variety_Malli(Big),variety_Malli(Small),variety_Mangoor,variety_Other,variety_Pangass,variety_Rahu(Andhra),variety_Rahu(Local),variety_Singhra(Big),variety_Singhra(Small),variety_Sol,variety_Soli,variety_Surmai(Big),variety_Surmali(Small),variety_White Dom,variety_Zinga(Zambo-A),variety_Zinga(Zambo-B),variety_Zinga(Zambo-C),year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
