month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Kerala,state_Maharashtra,state_Uttar Pradesh,state_Uttrakhand,market_Aligarh,market_Banda,market_Bilsi,market_Charkhari,market_Dehradoon,market_Etah,market_Haathras,market_Haldwani,market_Haridwar Union,market_Ichapuram,market_Jalaun,market_Jhansi,market_Kasganj,market_Kotadwara,market_Lalitpur,market_Madhogarh,market_Mathura,market_Moth,market_Mumbai,market_Orai,market_Punalur,market_Rishikesh,market_Roorkee,market_Rudrapur,market_Vikasnagar,year
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
