month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Jharkhand,state_Kerala,state_Madhya Pradesh,state_Uttar Pradesh,market_Kollam,market_Mehar,market_Narnaul,market_Ramgarh,variety_Other,year
,,,,,,,,,,1,,,,,,,1,,,2020
,,,,,,,,,,1,,,1,,,1,,,,2020
,,,,,,,,,,1,,1,,,1,,,,,2020
,,,,,,,,,,1,,1,,,1,,,,1,2020
,,,,,,,,,,1,1,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,1,1,2020
,,,,,,,,,1,,,,,,,,1,,,2020
,,,,,,,,,1,,,,1,,,1,,,,2020
,,,,,,,,,1,,,1,,,1,,,,,2020
,,,,,,,,,1,,,1,,,1,,,,1,2020
,,,,,,,,,1,,1,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,1,1,2020
,,,,,,,,1,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,1,,,1,,,,2020
,,,,,,,,1,,,,1,,,1,,,,,2020
,,,,,,,,1,,,,1,,,1,,,,1,2020
,,,,,,,,1,,,1,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,1,1,2020
,,,,,,,1,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,1,,,1,,,,2020
,,,,,,,1,,,,,1,,,1,,,,,2020
,,,,,,,1,,,,,1,,,1,,,,1,2020
,,,,,,,1,,,,1,,,,,,,1,,2020
,,,,,,,1,,,,1,,,,,,,1,1,2020
,,,,,,1,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,1,,,1,,,,2020
,,,,,,1,,,,,,1,,,1,,,,,2020
,,,,,,1,,,,,,1,,,1,,,,1,2020
,,,,,,1,,,,,1,,,,,,,1,,2020
,,,,,,1,,,,,1,,,,,,,1,1,2020
,,,,,1,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,1,,,1,,,,2020
,,,,,1,,,,,,,1,,,1,,,,,2020
,,,,,1,,,,,,,1,,,1,,,,1,2020
,,,,,1,,,,,,1,,,,,,,1,,2020
,,,,,1,,,,,,1,,,,,,,1,1,2020
,,,,1,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,1,,,1,,,,2020
,,,,1,,,,,,,,1,,,1,,,,,2020
,,,,1,,,,,,,,1,,,1,,,,1,2020
,,,,1,,,,,,,1,,,,,,,1,,2020
,,,,1,,,,,,,1,,,,,,,1,1,2020
,,,1,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,1,,,1,,,,2020
,,,1,,,,,,,,,1,,,1,,,,,2020
,,,1,,,,,,,,,1,,,1,,,,1,2020
,,,1,,,,,,,,1,,,,,,,1,,2020
,,,1,,,,,,,,1,,,,,,,1,1,2020
,,1,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,1,,,1,,,,2020
,,1,,,,,,,,,,1,,,1,,,,,2020
,,1,,,,,,,,,,1,,,1,,,,1,2020
,,1,,,,,,,,,1,,,,,,,1,,2020
,,1,,,,,,,,,1,,,,,,,1,1,2020
,1,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,1,,,1,,,,2020
,1,,,,,,,,,,,1,,,1,,,,,2020
,1,,,,,,,,,,,1,,,1,,,,1,2020
,1,,,,,,,,,,1,,,,,,,1,,2020
,1,,,,,,,,,,1,,,,,,,1,1,2020
1,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,1,,,1,,,,2020
1,,,,,,,,,,,,1,,,1,,,,,2020
1,,,,,,,,,,,,1,,,1,,,,1,2020
1,,,,,,,,,,,1,,,,,,,1,,2020
1,,,,,,,,,,,1,,,,,,,1,1,2020
