month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Punjab,state_Tamil Nadu,state_Uttar Pradesh,market_Balachaur,market_Bardoli,market_Bardoli(Katod),market_Bhopal(F&V),"market_Binny Mill (F&V), Bangalore",market_Channapatana,market_Chickkaballapura,market_Chikkamagalore,market_Chintamani,market_Davangere,market_Doddaballa Pur,market_Fatehpur Sikri,market_Giddarbaha,market_Gowribidanoor,market_Hassan,market_Kadur,market_Kanakapura,market_Katpadi(Uzhavar Santhai),market_Koduvayoor,market_Kolar,market_Kollengode,market_Lashkar,market_Makhu,market_Morinda,market_Mysore (Bandipalya),market_Noor Mehal,market_Palakkad,market_Pathankot,market_Pattambi,market_Ramanagara,market_Santhesargur,market_Shimoga,market_Vadakkenchery,market_Valod(Buhari),market_Wadakkanchery,market_vadakarapathy,variety_Green Avare (W),variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2020
,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
