month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Punjab,market_Charama,market_Hoshiarpur(Chara Mandi),market_Samalkha,market_Sirsa,variety_Other,year
,,,,,,,,,,1,,,1,,,,,2020
,,,,,,,,,,1,,,1,,,,1,2020
,,,,,,,,,,1,,1,,1,,,,2020
,,,,,,,,,,1,1,,,,,1,,2020
,,,,,,,,,,1,1,,,,,1,1,2020
,,,,,,,,,,1,1,,,,1,,,2020
,,,,,,,,,,1,1,,,,1,,1,2020
,,,,,,,,,1,,,,1,,,,,2020
,,,,,,,,,1,,,,1,,,,1,2020
,,,,,,,,,1,,,1,,1,,,,2020
,,,,,,,,,1,,1,,,,,1,,2020
,,,,,,,,,1,,1,,,,,1,1,2020
,,,,,,,,,1,,1,,,,1,,,2020
,,,,,,,,,1,,1,,,,1,,1,2020
,,,,,,,,1,,,,,1,,,,,2020
,,,,,,,,1,,,,,1,,,,1,2020
,,,,,,,,1,,,,1,,1,,,,2020
,,,,,,,,1,,,1,,,,,1,,2020
,,,,,,,,1,,,1,,,,,1,1,2020
,,,,,,,,1,,,1,,,,1,,,2020
,,,,,,,,1,,,1,,,,1,,1,2020
,,,,,,,1,,,,,,1,,,,,2020
,,,,,,,1,,,,,,1,,,,1,2020
,,,,,,,1,,,,,1,,1,,,,2020
,,,,,,,1,,,,1,,,,,1,,2020
,,,,,,,1,,,,1,,,,,1,1,2020
,,,,,,,1,,,,1,,,,1,,,2020
,,,,,,,1,,,,1,,,,1,,1,2020
,,,,,,1,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,1,,,,1,2020
,,,,,,1,,,,,,1,,1,,,,2020
,,,,,,1,,,,,1,,,,,1,,2020
,,,,,,1,,,,,1,,,,,1,1,2020
,,,,,,1,,,,,1,,,,1,,,2020
,,,,,,1,,,,,1,,,,1,,1,2020
,,,,,1,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,1,,,,1,2020
,,,,,1,,,,,,,1,,1,,,,2020
,,,,,1,,,,,,1,,,,,1,,2020
,,,,,1,,,,,,1,,,,,1,1,2020
,,,,,1,,,,,,1,,,,1,,,2020
,,,,,1,,,,,,1,,,,1,,1,2020
,,,,1,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,1,,,,1,2020
,,,,1,,,,,,,,1,,1,,,,2020
,,,,1,,,,,,,1,,,,,1,,2020
,,,,1,,,,,,,1,,,,,1,1,2020
,,,,1,,,,,,,1,,,,1,,,2020
,,,,1,,,,,,,1,,,,1,,1,2020
,,,1,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,1,,,,1,2020
,,,1,,,,,,,,,1,,1,,,,2020
,,,1,,,,,,,,1,,,,,1,,2020
,,,1,,,,,,,,1,,,,,1,1,2020
,,,1,,,,,,,,1,,,,1,,,2020
,,,1,,,,,,,,1,,,,1,,1,2020
,,1,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,1,,,,1,2020
,,1,,,,,,,,,,1,,1,,,,2020
,,1,,,,,,,,,1,,,,,1,,2020
,,1,,,,,,,,,1,,,,,1,1,2020
,,1,,,,,,,,,1,,,,1,,,2020
,,1,,,,,,,,,1,,,,1,,1,2020
,1,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,1,,,,1,2020
,1,,,,,,,,,,,1,,1,,,,2020
,1,,,,,,,,,,1,,,,,1,,2020
,1,,,,,,,,,,1,,,,,1,1,2020
,1,,,,,,,,,,1,,,,1,,,2020
,1,,,,,,,,,,1,,,,1,,1,2020
1,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,1,,,,1,2020
1,,,,,,,,,,,,1,,1,,,,2020
1,,,,,,,,,,,1,,,,,1,,2020
1,,,,,,,,,,,1,,,,,1,1,2020
1,,,,,,,,,,,1,,,,1,,,2020
1,,,,,,,,,,,1,,,,1,,1,2020
