month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_November,month_October,month_September,state_Jharkhand,state_Tamil Nadu,state_Telangana,market_Bhesan,market_Cuddalore,market_Kurinchipadi,market_Madhupur,market_Manalurpet,market_Panruti,market_Suryapeta,variety_Other,variety_Refined Ground Nut Oil,year
,,,,,,,,,1,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,1,,,2020
,,,,,,,,,1,,,1,,,,,,,1,1,,2020
,,,,,,,,,1,,1,,,,,,,1,,,,2020
,,,,,,,,,1,,1,,,,,,1,,,,,2020
,,,,,,,,,1,,1,,,,,,1,,,1,,2020
,,,,,,,,,1,,1,,,,1,,,,,,,2020
,,,,,,,,,1,,1,,,1,,,,,,,,2020
,,,,,,,,,1,1,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,1,,,2020
,,,,,,,,1,,,,1,,,,,,,1,1,,2020
,,,,,,,,1,,,1,,,,,,,1,,,,2020
,,,,,,,,1,,,1,,,,,,1,,,,,2020
,,,,,,,,1,,,1,,,,,,1,,,1,,2020
,,,,,,,,1,,,1,,,,1,,,,,,,2020
,,,,,,,,1,,,1,,,1,,,,,,,,2020
,,,,,,,,1,,1,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,1,,,2020
,,,,,,,1,,,,,1,,,,,,,1,1,,2020
,,,,,,,1,,,,1,,,,,,,1,,,,2020
,,,,,,,1,,,,1,,,,,,1,,,,,2020
,,,,,,,1,,,,1,,,,,,1,,,1,,2020
,,,,,,,1,,,,1,,,,1,,,,,,,2020
,,,,,,,1,,,,1,,,1,,,,,,,,2020
,,,,,,,1,,,1,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,,1,,,2020
,,,,,,1,,,,,,1,,,,,,,1,1,,2020
,,,,,,1,,,,,1,,,,,,,1,,,,2020
,,,,,,1,,,,,1,,,,,,1,,,,,2020
,,,,,,1,,,,,1,,,,,,1,,,1,,2020
,,,,,,1,,,,,1,,,,1,,,,,,,2020
,,,,,,1,,,,,1,,,1,,,,,,,,2020
,,,,,,1,,,,1,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,,,2020
,,,,,1,,,,,,,1,,,,,,,1,,,2020
,,,,,1,,,,,,,1,,,,,,,1,1,,2020
,,,,,1,,,,,,1,,,,,,,1,,,,2020
,,,,,1,,,,,,1,,,,,,1,,,,,2020
,,,,,1,,,,,,1,,,,,,1,,,1,,2020
,,,,,1,,,,,,1,,,,1,,,,,,,2020
,,,,,1,,,,,,1,,,1,,,,,,,,2020
,,,,,1,,,,,1,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,1,,,,,,,,1,,,,,,,1,,,2020
,,,,1,,,,,,,,1,,,,,,,1,1,,2020
,,,,1,,,,,,,1,,,,,,,1,,,,2020
,,,,1,,,,,,,1,,,,,,1,,,,,2020
,,,,1,,,,,,,1,,,,,,1,,,1,,2020
,,,,1,,,,,,,1,,,,1,,,,,,,2020
,,,,1,,,,,,,1,,,1,,,,,,,,2020
,,,,1,,,,,,1,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,1,,,,,,,,,2020
,,,1,,,,,,,,,1,,,,,,,1,,,2020
,,,1,,,,,,,,,1,,,,,,,1,1,,2020
,,,1,,,,,,,,1,,,,,,,1,,,,2020
,,,1,,,,,,,,1,,,,,,1,,,,,2020
,,,1,,,,,,,,1,,,,,,1,,,1,,2020
,,,1,,,,,,,,1,,,,1,,,,,,,2020
,,,1,,,,,,,,1,,,1,,,,,,,,2020
,,,1,,,,,,,1,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,1,,,,,,,,,2020
,,1,,,,,,,,,,1,,,,,,,1,,,2020
,,1,,,,,,,,,,1,,,,,,,1,1,,2020
,,1,,,,,,,,,1,,,,,,,1,,,,2020
,,1,,,,,,,,,1,,,,,,1,,,,,2020
,,1,,,,,,,,,1,,,,,,1,,,1,,2020
,,1,,,,,,,,,1,,,,1,,,,,,,2020
,,1,,,,,,,,,1,,,1,,,,,,,,2020
,,1,,,,,,,,1,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,1,,,2020
,1,,,,,,,,,,,1,,,,,,,1,1,,2020
,1,,,,,,,,,,1,,,,,,,1,,,,2020
,1,,,,,,,,,,1,,,,,,1,,,,,2020
,1,,,,,,,,,,1,,,,,,1,,,1,,2020
,1,,,,,,,,,,1,,,,1,,,,,,,2020
,1,,,,,,,,,,1,,,1,,,,,,,,2020
,1,,,,,,,,,1,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,,,,1,,,,,,,1,,,2020
1,,,,,,,,,,,,1,,,,,,,1,1,,2020
1,,,,,,,,,,,1,,,,,,,1,,,,2020
1,,,,,,,,,,,1,,,,,,1,,,,,2020
1,,,,,,,,,,,1,,,,,,1,,,1,,2020
1,,,,,,,,,,,1,,,,1,,,,,,,2020
1,,,,,,,,,,,1,,,1,,,,,,,,2020
1,,,,,,,,,,1,,,,,,1,,,,,,2020
