month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Gujarat,state_Haryana,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Odisha,state_Pondicherry,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,market_Akaltara,market_Alangudi,market_Allagadda,market_Alur,market_Amreli,market_Anaimalai,market_Anantapur,market_Arang,market_Ariyalur Market,market_Badami,market_Badayoun,market_Bagepalli,market_Bangalore,market_Bareilly,market_Bastar,market_Bemetara,market_Bhadrachalam,market_Bhagat Ki Kothi,market_Bhanvad,market_Bhesan,market_Bhopal,market_Bilaspur,market_Boothapadi,market_Challakere,market_Chamaraj Nagar,market_Channarayapatna,market_Charla,market_Chethupattu,market_Chintamani,market_Chintapally,market_Cuddapah,market_Dahod,market_Deoli,market_Dewas,market_Dharmavaram,market_Dhone,market_Dhoraji,market_Dhrol,market_Digapahandi,market_Doddaballa Pur,market_Etah,market_Gadwal,market_Gondal,market_Gooti,market_Gowribidanoor,market_Guna,market_Gundlupet,market_Guntakal,market_H.B. Halli,market_Hiriyur,market_Hoovinahadagali,market_Hospet,market_Ichapuram,market_Ichhawar,market_Jajpur,market_Jam Jodhpur,market_Jam Khambalia,market_Jamnagar,market_Jasdan,market_Jayamkondam,market_Jetpur(Dist.Rajkot),market_Junagadh,market_Kadiri,market_Kadur,market_Kalawad,market_Kamakhyanagar,market_Kamalapuram,market_Karur,market_Kasrawad,market_Kendupatna,market_Kendupatna(Niali),market_Kesamudram,market_Khammam,market_Khariar Road,market_Kharsiya,market_Khedbrahma,market_Kianthukadavu,market_Kilpennathur,market_Kodinar,market_Koilkunta,market_Kolar,market_Kondagoan,market_Kondotty,market_Kunkuri,market_Kurinchipadi,market_Kurnool,market_Lakkireddipally,market_Lingasugur,market_Madakasira,market_Maddur,market_Madhugiri,market_Mahbubnagar,market_Malpura,market_Malur,market_Manalurpet,market_Manendragarh,market_Mangrol,market_Meghraj,market_Mulabagilu,market_Mundaragi,market_Mysore (Bandipalya),market_Nagamangala,market_Nagari,market_Nagarkurnool,market_Nanjangud,market_Narsapur,market_Narsinghgarh,market_Nasvadi,market_Nawalgarh,market_Nelakondapally,market_Nippani,market_Pavagada,market_Pendraroad,market_Penukonda,market_Polur(Thiruvannamalai),market_Porbandar,market_Punganur,market_Rajkot,market_Rajula,market_Rayachoti,market_Rayadurg,market_Saunsar,market_Savarkundla,market_Sevur,market_Shahapur,market_Shamgarh,market_Siddhpur,market_Sindagi,market_Sindhanur,market_Sira,market_Somala,market_Sri Madhopur,market_Srikalahasti,market_Srinivasapur,market_Suryapeta,market_Tadipatri,market_Takhatpur,market_Tenakallu,market_Thattanchavady,market_Thiruvannamalai,market_Thiryagadurgam,market_Thondamuthur,market_Udumalpet,market_Udupi,market_Upleta,market_Urvakonda,market_Vadali,market_Vadodara,market_Vanapuram,market_Vijaynagar,market_Visavadar,variety_Bold Kernel,variety_Ground Nut Seed,variety_Local,variety_M-37,variety_Other,variety_TMV-2,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
