month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Gujarat,state_Haryana,state_Madhya Pradesh,state_Mizoram,state_Odisha,state_Pondicherry,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,market_Amreli,market_Andimadom,market_Anthiyur,market_Bageecha,market_Basti,market_Bhadrachalam,market_Bhesan,market_Bowenpally,market_Charla,market_Datia,market_Gooti,market_Gudiyatham,market_Jajpur,market_Jam Jodhpur,market_Jayamkondam,market_Jetpur(Dist.Rajkot),market_Junagadh,market_Kamalapuram,market_Kolaras,market_Lakhnadon(F&V),market_Lakkireddipally,market_Lungli,market_Madagadipet,market_Manapparai,market_Nokha,market_Pataudi,market_Pathalgaon,market_Porbandar,market_Srikalahasti,market_Suryapeta,market_Thattanchavady,market_Upleta,market_Vellore,market_Visavadar,variety_JL-24,variety_Local,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
