month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Arunachal Pradesh,state_Assam,state_Chattisgarh,state_Jharkhand,state_Karnataka,state_Maharashtra,state_Odisha,state_Telangana,market_Akluj,market_Amadula,market_Anajngaon,market_Annigeri,market_Athani,market_Badami,market_Bailahongal,market_Bhadravathi,market_Brahmpuri,market_Cachar,market_Channarayapatna,market_Chuliaposi,market_Daryapur,market_Davangere,market_Deoulgaon Raja,market_Gadhwah,market_Hinjilicut,market_Hirekerur,market_Jamakhandi,market_Kalagategi,market_Kalyan,market_Khamgaon,market_Kodad,market_Kolhapur(Malkapur),market_Kudchi,market_Narsingi,market_Parlakhemundi,market_Pasighat,market_Penamaluru,market_Ranebennur,market_Sangola,market_Sankeshwar,market_Shikaripura,market_Sindagi,market_Sindhanur,market_Soundati,market_Vita,variety_He Baffelo,variety_Local,variety_Other,variety_Ox,variety_Ram,variety_She Baffelo,variety_Sheep Medium,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
