month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Madhya Pradesh,state_Pondicherry,state_Tamil Nadu,market_Cuddalore,market_Gingee,market_Kallakurichi,market_Kannod,market_Kollegal,market_Kovilpatti,market_Kurinchipadi,market_Madagadipet,market_Manalurpet,market_Panruti,market_Sangarapuram,market_Thattanchavady,market_Thirukovilur,market_Thiruppur,market_Thiruvannamalai,market_Tindivanam,market_Ulundurpettai,market_Vellore,market_Vikkiravandi,market_Villupuram,year
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,2020
