month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Assam,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jharkhand,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Meghalaya,state_Mizoram,state_Nagaland,state_Odisha,state_Rajasthan,state_Telangana,state_Tripura,state_Uttar Pradesh,state_Uttrakhand,market_Ambala City,market_Anoop Shahar,market_Baghmara,market_Bahraich,market_Bangarmau,market_Baripada,market_Bazpur,market_Betnoti,market_Bhadrak,market_Bhopal(F&V),market_Cachar,market_Channapatana,market_Chintapally,market_Deesa,market_Deesa(Deesa Veg Yard),market_Dehradoon,market_Dhanotu (Mandi),market_Etah,market_Faizabad,market_Firozabad,market_Gadarpur,market_Gaddiannaram,market_Gadhwah,market_Garobadha,market_Gasuapara,market_Gonikappal,market_Gubbi,market_Gumla,market_Gunpur,market_Haldwani,market_Hamirpur,market_Harda,market_Harda(F&V),market_Haridwar Union,market_Hindol,market_Hissar,market_Holenarsipura,market_Hunsur,market_Jalaun,market_Jaleswar,market_Jaspur(UC),market_Jhansi,market_Jowai,market_K.R. Pet,market_K.R.Nagar,market_Kadur,market_Kalpi,market_Kalsi,market_Kamthi,market_Kanchili,market_Kashipur,market_Kasinagar,market_Kattakada,market_Khariar,market_Khariar Road,market_Khateema,market_Kicchha,market_Koderma,market_Koduvayoor,market_Kolhapur,market_Kollengode,market_Koppa,market_Koraput,market_Koraput(Semilguda),market_Kota (F&V),market_Kotadwara,market_Kulai,market_Lalganj,market_Lashkar,market_Lashkar(F&V),market_Lohardaga,market_Lucknow,market_Mainpuri,market_Malkanagiri,market_Malur,market_Mandi(Mandi),market_Mathura,market_Mohindergarh,market_Mokokchung Town,market_Nagpur,market_Nagpur(Mahatma Phule Market),market_Nahan,market_Naraingarh,market_Nedumangadu,market_New Market Aizawl,market_Nimapara,market_Nippani,market_Nuiland,market_Nutanbazar,market_P.O. Uparhali Guwahati,market_Pabiacherra,market_Paderu,market_Palakkad,market_Palwal,market_Panisagar,market_Paonta Sahib,market_Parikshitgarh,market_Parlakhemundi,market_Pattambi,market_Piriya Pattana,market_Pratapgarh,market_Punalur,market_Purwa,market_Raibareilly,market_Ramnagar,market_Ramtek,market_Rayagada,market_Rayagada(Muniguda),market_Rishikesh,market_Roorkee,market_Rudrapur,market_Sagar,market_Sahidngar,market_Sakhigopal,market_Saraskana,market_Shahapur,market_Shahzadpur,market_Sheopurkalan,market_Shikohabad,market_Shimoga,market_Shimogga(Theertahalli),market_Simdega,market_Sitapur,market_Sitarganj,market_Siyana,market_Somvarpet,market_Sorabha,market_Sultanpur,market_Syopurkalan(F&V),market_Tanakpur,market_Tarikere,market_Tikabali,market_Una,market_Unnao,market_Uttaripura,market_Venkateswarnagar(Chintapalli),market_Vikasnagar,market_Yamuna Nagar,market_kalanwali,market_vadakarapathy,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
