month_December,month_February,month_January,month_July,month_June,month_March,month_May,state_Himachal Pradesh,state_Punjab,state_Uttar Pradesh,market_Bahedi,market_Banga,market_Banur,market_Dhanotu (Mandi),market_Fatehabad,market_Firozepur City,market_Mandi(Mandi),market_Mohindergarh,year
,,,,,,1,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,1,,,,2020
,,,,,,1,,,1,1,,,,,,,,2020
,,,,,,1,,1,,,,,,,1,,,2020
,,,,,,1,,1,,,,1,,,,,,2020
,,,,,,1,,1,,,1,,,,,,,2020
,,,,,,1,1,,,,,,,,,1,,2020
,,,,,,1,1,,,,,,1,,,,,2020
,,,,,1,,,,,,,,,,,,1,2020
,,,,,1,,,,,,,,,1,,,,2020
,,,,,1,,,,1,1,,,,,,,,2020
,,,,,1,,,1,,,,,,,1,,,2020
,,,,,1,,,1,,,,1,,,,,,2020
,,,,,1,,,1,,,1,,,,,,,2020
,,,,,1,,1,,,,,,,,,1,,2020
,,,,,1,,1,,,,,,1,,,,,2020
,,,,1,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,,,,1,,,,2020
,,,,1,,,,,1,1,,,,,,,,2020
,,,,1,,,,1,,,,,,,1,,,2020
,,,,1,,,,1,,,,1,,,,,,2020
,,,,1,,,,1,,,1,,,,,,,2020
,,,,1,,,1,,,,,,,,,1,,2020
,,,,1,,,1,,,,,,1,,,,,2020
,,,1,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,,,1,,,,2020
,,,1,,,,,,1,1,,,,,,,,2020
,,,1,,,,,1,,,,,,,1,,,2020
,,,1,,,,,1,,,,1,,,,,,2020
,,,1,,,,,1,,,1,,,,,,,2020
,,,1,,,,1,,,,,,,,,1,,2020
,,,1,,,,1,,,,,,1,,,,,2020
,,1,,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,1,1,,,,,,,,2020
,,1,,,,,,1,,,,,,,1,,,2020
,,1,,,,,,1,,,,1,,,,,,2020
,,1,,,,,,1,,,1,,,,,,,2020
,,1,,,,,1,,,,,,,,,1,,2020
,,1,,,,,1,,,,,,1,,,,,2020
,1,,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,1,1,,,,,,,,2020
,1,,,,,,,1,,,,,,,1,,,2020
,1,,,,,,,1,,,,1,,,,,,2020
,1,,,,,,,1,,,1,,,,,,,2020
,1,,,,,,1,,,,,,,,,1,,2020
,1,,,,,,1,,,,,,1,,,,,2020
1,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,1,1,,,,,,,,2020
1,,,,,,,,1,,,,,,,1,,,2020
1,,,,,,,,1,,,,1,,,,,,2020
1,,,,,,,,1,,,1,,,,,,,2020
1,,,,,,,1,,,,,,,,,1,,2020
1,,,,,,,1,,,,,,1,,,,,2020
