month_February,month_January,month_July,month_March,month_November,month_October,month_September,state_Rajasthan,state_Uttar Pradesh,"market_Flower Market, Canaught Place(Pr. Yard,Mehrauli)","market_Flower Market,Gazipur",market_Mehrauni,variety_Lily,variety_Marigold(Calcutta),variety_Orchid,variety_Other,variety_Patti Calcutta,variety_Rose (Local),year
,,,,,,1,,,,1,,,,,,,,2020
,,,,,,1,,,,1,,,,,1,,,2020
,,,,,,1,,,1,,,,,,,,,2020
,,,,,,1,,,1,,,,,,,,1,2020
,,,,,,1,,,1,,,,,,,1,,2020
,,,,,,1,,,1,,,,,1,,,,2020
,,,,,,1,,,1,,,,1,,,,,2020
,,,,,,1,,,1,,,1,,,,,,2020
,,,,,,1,,1,,,1,,,,,,,2020
,,,,,,1,,1,,,1,,,,1,,,2020
,,,,,1,,,,,1,,,,,,,,2020
,,,,,1,,,,,1,,,,,1,,,2020
,,,,,1,,,,1,,,,,,,,,2020
,,,,,1,,,,1,,,,,,,,1,2020
,,,,,1,,,,1,,,,,,,1,,2020
,,,,,1,,,,1,,,,,1,,,,2020
,,,,,1,,,,1,,,,1,,,,,2020
,,,,,1,,,,1,,,1,,,,,,2020
,,,,,1,,,1,,,1,,,,,,,2020
,,,,,1,,,1,,,1,,,,1,,,2020
,,,,1,,,,,,1,,,,,,,,2020
,,,,1,,,,,,1,,,,,1,,,2020
,,,,1,,,,,1,,,,,,,,,2020
,,,,1,,,,,1,,,,,,,,1,2020
,,,,1,,,,,1,,,,,,,1,,2020
,,,,1,,,,,1,,,,,1,,,,2020
,,,,1,,,,,1,,,,1,,,,,2020
,,,,1,,,,,1,,,1,,,,,,2020
,,,,1,,,,1,,,1,,,,,,,2020
,,,,1,,,,1,,,1,,,,1,,,2020
,,,1,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,1,,,,,1,,,2020
,,,1,,,,,,1,,,,,,,,,2020
,,,1,,,,,,1,,,,,,,,1,2020
,,,1,,,,,,1,,,,,,,1,,2020
,,,1,,,,,,1,,,,,1,,,,2020
,,,1,,,,,,1,,,,1,,,,,2020
,,,1,,,,,,1,,,1,,,,,,2020
,,,1,,,,,1,,,1,,,,,,,2020
,,,1,,,,,1,,,1,,,,1,,,2020
,,1,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,1,,,,,1,,,2020
,,1,,,,,,,1,,,,,,,,,2020
,,1,,,,,,,1,,,,,,,,1,2020
,,1,,,,,,,1,,,,,,,1,,2020
,,1,,,,,,,1,,,,,1,,,,2020
,,1,,,,,,,1,,,,1,,,,,2020
,,1,,,,,,,1,,,1,,,,,,2020
,,1,,,,,,1,,,1,,,,,,,2020
,,1,,,,,,1,,,1,,,,1,,,2020
,1,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,1,,,,,1,,,2020
,1,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,1,,,,,,,,1,2020
,1,,,,,,,,1,,,,,,,1,,2020
,1,,,,,,,,1,,,,,1,,,,2020
,1,,,,,,,,1,,,,1,,,,,2020
,1,,,,,,,,1,,,1,,,,,,2020
,1,,,,,,,1,,,1,,,,,,,2020
,1,,,,,,,1,,,1,,,,1,,,2020
1,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,1,,,,,1,,,2020
1,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,1,,,,,,,,1,2020
1,,,,,,,,,1,,,,,,,1,,2020
1,,,,,,,,,1,,,,,1,,,,2020
1,,,,,,,,,1,,,,1,,,,,2020
1,,,,,,,,,1,,,1,,,,,,2020
1,,,,,,,,1,,,1,,,,,,,2020
1,,,,,,,,1,,,1,,,,1,,,2020
