month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Maharashtra,state_Odisha,market_Koraput(Semilguda),market_Palakkad,market_Pattambi,market_Pune,market_Vadakkenchery,year
,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,,1,,,,,1,,,2020
,,,,,,,,,,1,,,,1,,,,2020
,,,,,,,,,,1,,1,1,,,,,2020
,,,,,,,,,,1,1,,,,,1,,2020
,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,1,,,,,,1,,,2020
,,,,,,,,,1,,,,,1,,,,2020
,,,,,,,,,1,,,1,1,,,,,2020
,,,,,,,,,1,,1,,,,,1,,2020
,,,,,,,,1,,,,,,,,,1,2020
,,,,,,,,1,,,,,,,1,,,2020
,,,,,,,,1,,,,,,1,,,,2020
,,,,,,,,1,,,,1,1,,,,,2020
,,,,,,,,1,,,1,,,,,1,,2020
,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,1,,,,2020
,,,,,,,1,,,,,1,1,,,,,2020
,,,,,,,1,,,,1,,,,,1,,2020
,,,,,,1,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,1,,,,2020
,,,,,,1,,,,,,1,1,,,,,2020
,,,,,,1,,,,,1,,,,,1,,2020
,,,,,1,,,,,,,,,,,,1,2020
,,,,,1,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,1,1,,,,,2020
,,,,,1,,,,,,1,,,,,1,,2020
,,,,1,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,1,1,,,,,2020
,,,,1,,,,,,,1,,,,,1,,2020
,,,1,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,1,1,,,,,2020
,,,1,,,,,,,,1,,,,,1,,2020
,,1,,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,1,1,,,,,2020
,,1,,,,,,,,,1,,,,,1,,2020
,1,,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,1,1,,,,,2020
,1,,,,,,,,,,1,,,,,1,,2020
1,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,1,1,,,,,2020
1,,,,,,,,,,,1,,,,,1,,2020
