month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Madhya Pradesh,state_Rajasthan,state_Uttar Pradesh,state_Uttrakhand,market_Chutmalpur,market_Deoband,market_Gazipur,market_Lakshar,market_Shahagarh,market_Vadgam,market_Vikasnagar,year
,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,1,,,,,,,1,2020
,,,,,,,,,,1,,,,1,,,,1,,,,2020
,,,,,,,,,,1,,,1,,,,1,,,,,2020
,,,,,,,,,,1,,,1,,,1,,,,,,2020
,,,,,,,,,,1,,,1,,1,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,1,,,,,,,1,2020
,,,,,,,,,1,,,,,1,,,,1,,,,2020
,,,,,,,,,1,,,,1,,,,1,,,,,2020
,,,,,,,,,1,,,,1,,,1,,,,,,2020
,,,,,,,,,1,,,,1,,1,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,,,,1,,,,,,,1,2020
,,,,,,,,1,,,,,,1,,,,1,,,,2020
,,,,,,,,1,,,,,1,,,,1,,,,,2020
,,,,,,,,1,,,,,1,,,1,,,,,,2020
,,,,,,,,1,,,,,1,,1,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,1,,,,,,,1,2020
,,,,,,,1,,,,,,,1,,,,1,,,,2020
,,,,,,,1,,,,,,1,,,,1,,,,,2020
,,,,,,,1,,,,,,1,,,1,,,,,,2020
,,,,,,,1,,,,,,1,,1,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,1,,,,,,,1,2020
,,,,,,1,,,,,,,,1,,,,1,,,,2020
,,,,,,1,,,,,,,1,,,,1,,,,,2020
,,,,,,1,,,,,,,1,,,1,,,,,,2020
,,,,,,1,,,,,,,1,,1,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,,,,1,,,,,,,1,2020
,,,,,1,,,,,,,,,1,,,,1,,,,2020
,,,,,1,,,,,,,,1,,,,1,,,,,2020
,,,,,1,,,,,,,,1,,,1,,,,,,2020
,,,,,1,,,,,,,,1,,1,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,,,,1,,,,,,,1,2020
,,,,1,,,,,,,,,,1,,,,1,,,,2020
,,,,1,,,,,,,,,1,,,,1,,,,,2020
,,,,1,,,,,,,,,1,,,1,,,,,,2020
,,,,1,,,,,,,,,1,,1,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,,,,1,,,,,,,1,2020
,,,1,,,,,,,,,,,1,,,,1,,,,2020
,,,1,,,,,,,,,,1,,,,1,,,,,2020
,,,1,,,,,,,,,,1,,,1,,,,,,2020
,,,1,,,,,,,,,,1,,1,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,1,,,,,,,1,2020
,,1,,,,,,,,,,,,1,,,,1,,,,2020
,,1,,,,,,,,,,,1,,,,1,,,,,2020
,,1,,,,,,,,,,,1,,,1,,,,,,2020
,,1,,,,,,,,,,,1,,1,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,1,,,,,,,1,2020
,1,,,,,,,,,,,,,1,,,,1,,,,2020
,1,,,,,,,,,,,,1,,,,1,,,,,2020
,1,,,,,,,,,,,,1,,,1,,,,,,2020
,1,,,,,,,,,,,,1,,1,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,1,,,,,,,1,2020
1,,,,,,,,,,,,,,1,,,,1,,,,2020
1,,,,,,,,,,,,,1,,,,1,,,,,2020
1,,,,,,,,,,,,,1,,,1,,,,,,2020
1,,,,,,,,,,,,,1,,1,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,1,,,2020
