month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Assam,state_Chattisgarh,state_Gujarat,state_Haryana,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Meghalaya,state_Odisha,state_West Bengal,market_Amadalavalasa,market_Anandapur,market_Balurghat,market_Banki,market_Barasat,market_Baxirhat,market_Belacoba,market_Beldanga,market_Bethuadahari,market_Bhokar,market_Bobbili,market_Bohorihat,market_Bongiagaon,market_Champadanga,market_Coochbehar,market_Cuddapah,market_Deoulgaon Raja,market_Devala,market_Dhekiajuli,market_Dhing,market_Ding,market_Dinhata,market_Falakata,market_Gajapathinagaram,market_Gajol,market_Gangarampur,market_Garobadha,market_Gauripur,market_Ghansour,market_Ghatal,market_Goalpara,market_Goreswar,market_Haldibari,market_Howly,market_Islampur,market_Jajpur,market_Jalana,market_Jalpaiguri Sadar,market_Jangipur,market_Jaspur,market_Jiaganj,market_Jiaganj(Lalbagh),market_Kaliaganj,market_Kalna,market_Kalvan,market_Karimpur,market_Kasimbazar,market_Kasinagar,market_Katwa,market_Kendrapara,market_Kendrapara(Marshaghai),market_Kendupatna,market_Kharupetia,market_Kolaghat,market_Kondotty,market_Kurupam,market_Lalbagh,market_Lanka,market_Mansa,market_Mathabhanga,market_Mekhliganj,market_Moynaguri,market_Moynaguri(Dhupguri),market_Mysore (Bandipalya),market_Nadia,market_Palakonda,market_Parvathipuram,market_Pundibari,market_Raiganj,market_Raiganj(Kalinganj),market_Rajam,market_Ramanujganj,market_Samsi,market_Satana,market_Sheoraphuly,market_Shrirampur,market_Srirampur,market_Suragana,market_Toofanganj,market_Vankaner,market_Vijayanagaram,variety_Other,variety_TD-5,variety_W-5,variety_W-5/TD-5,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
