month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Gujarat,state_Jharkhand,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Odisha,state_Pondicherry,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,state_West Bengal,market_Achalda,market_Achampet,market_Achampet(Amrabad),market_Agar,market_Aheri,market_Ahirora,market_Ahmednagar,market_Ait,market_Ajaygarh,market_Akbarpur,market_Akluj,market_Akole,market_Alampur,market_Alappuzha,market_Alur,market_Ambikapur,market_Amod,market_Anjad,market_Anwala,market_Arani,market_Arasikere,market_Armori,market_Aroor,market_Attabira,market_Auraiya,market_Avalurpet,market_Azamgarh,market_Babrala,market_Badami,market_Badayoun,market_Badepalli,market_Badnagar,market_Badod,market_Badwaha,market_Bagalakot,market_Bageecha,market_Bagepalli,market_Bahraich,market_Baikunthpur,market_Balwadi,market_Bamora,market_Banda,market_Bangalore,market_Bangarpet,market_Banki,market_Barabanki,market_Bareli,market_Barshi,market_Barshi(Vairag),market_Beawar,market_Becharaji,market_Bededonger,market_Begamganj,market_Bellary,market_Belur,market_Betnoti,market_Bhadravathi,market_Bhadrawati,market_Bhanpura,market_Bharthna,market_Bhawanipatna,market_Bhind,market_Bhopal,market_Bijapur,market_Bijnaur,market_Bilaspur,market_Bilsi,market_Bina,market_Bindki,market_Bobbili,market_Bolangir,market_Buland Shahr,market_Challakere,market_Chamaraj Nagar,market_Chandausi,market_Chandrapur,market_Channapatana,market_Channarayapatna,market_Chanthroor,market_Cherthala,market_Chhibramau,market_Chhinari,market_Chikkamagalore,market_Chinnasalem,market_Chintamani,market_Chitradurga,market_Chorichora,market_Chotila,market_Choubepur,market_Dabra,market_Damoh,market_Dataganj,market_Davangere,market_Deeg,market_Degana,market_Deoband,market_Deori,market_Devala,market_Devariya,market_Dharamjaygarh,market_Dharwar,market_Dhenkanal,market_Dhule,market_Dibiapur,market_Doddaballa Pur,market_Dondaicha,market_Doranpal,market_Dudhi,market_Etawah,market_Faizabad,market_Fatehpur,market_Gadag,market_Gadarwada,market_Gadaura,market_Gajapathinagaram,market_Gandhwani,market_Gangavathi,market_Gangoh,market_Ganjbasoda,market_Garhakota,market_Gautampura,market_Ghansawangi,market_Gingee,market_Giridih,market_Godabhaga,market_Gondpimpri,market_Gorakhpur,market_Gowribidanoor,market_Gubbi,market_Gudiyatham,market_Gulabpura,market_Guna,market_Gundlupet,market_Gunpur,market_H.B. Halli,market_Haliyala,market_Halvad,market_Hanagal,market_Hapur,market_Harappana Halli,market_Harsood,market_Hassan,market_Haveri,market_Hiramandalam,market_Hirapur,market_Holenarsipura,market_Hoovinahadagali,market_Hosadurga,market_Hoshangabad,market_Hoskote,market_Hubli (Amaragol),market_Huliyar,market_Hunsur,market_Ichhawar,market_Indapur,market_Indapur(Bhigwan),market_Indore,market_Indore(F&V),market_Jalaun,market_Jamanian,market_Jamkhed,market_Jammikunta,market_Jaora,market_Jasdan,market_Jaspur,market_Jasra,market_Jasvantnagar,market_Jhijhank,market_Jintur,market_Jogipet,market_Junagadh,market_K.R. Pet,market_K.R.Nagar,market_Kada,market_Kadi,market_Kadur,market_Kagaznagar,market_Kaij,market_Kalagategi,market_Kalamb (Dharashiv),market_Kalawad,market_Kallakurichi,market_Kalpi,market_Kamlaganj,market_Kanakapura,market_Kannauj,market_Kannur,market_Kanpur(Grain),market_Karera,market_Karjat(Raigad),market_Katghora,market_Katpadi,market_Kayamganj,market_Kekri,market_Kendupatna,market_Kesinga,market_Kesli,market_Khalilabad,market_Khandwa,market_Khandwa(F&V),market_Khariar,market_Khariar Road,market_Khedbrahma,market_Khirakiya,market_Khurai,market_Kille Dharur,market_Kishunpur,market_Kolar,market_Kollegal,market_Kondagoan,market_Kondotty,market_Konta,market_Kopaganj,market_Koppal,market_Koraput,market_Koraput(Semilguda),market_Kotba,market_Kottur,market_Kovilpatti,market_Kovvur,market_Kunigal,market_Kunkuri,market_Kurara,market_Kurdwadi,market_Kusmee,market_Kustagi,market_Lakhimpur,market_Lasalgaon,market_Laxmeshwar,market_Loha,market_Loharda,market_Maddur,market_Madhugiri,market_Mahasamund,market_Mahbubnagar,market_Mahbubnagar(Nawabpet),market_Mahidpur,market_Makdi,market_Malegaon,market_Malpura,market_Malpura(Todaraisingh),market_Malur,market_Manalurpet,market_Mandsaur,market_Mangal Wedha,market_Manmad,market_Mardapal,market_Maudaha,market_Mehgaon,market_Mhow,market_Moodigere,market_Mottagaon,market_Mukhiguda,market_Mulabagilu,market_Mullanpur,market_Mumbai,market_Mysore (Bandipalya),market_Nabarangpur(Umerkote),market_Nadwai,market_Nagamangala,market_Nagarkurnool,market_Naila,market_Najibabad,market_Nandgaon,market_Nandurbar,market_Nanjangud,market_Naugarh,market_Nautnava,market_Nawarangpur,market_Nippani,market_Nizamabad,market_Padampur,market_Palitana,market_Pandavapura,market_Pandhana,market_Pargi,market_Parlakhemundi,market_Partaval,market_Parvathipuram,market_Pathalgaon,market_Patharia,market_Pavagada,market_Payagpur,market_Pharasgaon,market_Pipariya,market_Piplya,market_Piriya Pattana,market_Porbandar,market_Pukharayan,market_Punalur,market_Pune,market_Punganur,market_Raath,market_Rahuri(Vambori),market_Raichur,market_Raipur,market_Raisen,market_Ramanagara,market_Ramanujganj,market_Ranebennur,market_Ratlam,market_Rayagada,market_Rayagada(Muniguda),market_Rona,market_Rura,market_Sagar,market_Saharanpur,market_Sahiyapur,market_Sakaleshpura,market_Sakri,market_Sambhal,market_Samsi,market_Sandila,market_Sangamner,market_Sangarapuram,market_Sangli,market_Santhesargur,market_Sanwer,market_Satana,market_Savali,market_Sehjanwa,market_Sevda,market_Shadnagar,market_Shahagarh,market_Shahaswan,market_Shahpura(Jabalpur),market_Shamgarh,market_Sheopurbadod,market_Sheopurkalan,market_Shimoga,market_Shirpur,market_Shirur,market_Shrigonda,market_Shrirampur,market_Shujalpur,market_Siddhpur,market_Siddipet,market_Sikanderabad,market_Sindagi(Indi),market_Sinner,market_Sira,market_Sitapur,market_Siyana,market_Sohela,market_Sojat Road,market_Srirangapattana,market_Suragana,market_Surajpur,market_Suryapeta,market_T. Narasipura,market_Tamkuhi road,market_Tarikere,market_Thattanchavady,market_Thirukovilur,market_Thirupathur,market_Thiruppur,market_Thiruvannamalai,market_Thiryagadurgam,market_Thondamuthur,market_Timarni,market_Tindivanam,market_Tumkur,market_Udaipur (Grain),market_Udaipura,market_Ujhani,market_Ulundurpettai,market_Una,market_Upleta,market_Uttaripura,market_Vaijpur,market_Varipaal,market_Vellore,market_Vijapur,market_Vijaynagar,market_Vijaypur,market_Vikkiravandi,market_Villupuram,market_Virudhachalam,market_Visavadar,market_Visnagar,market_Visoli,market_Wansi,market_Washi (Dharashiv),market_Wazirganj,market_Yeola,market_Yusufpur,variety_Horse Gram Dal (Split),variety_Horse gram (Whole),variety_Medium,variety_Other,variety_Small,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
