month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Madhya Pradesh,state_Maharashtra,state_Odisha,state_Rajasthan,market_Akaltara,market_Arang,market_Armori,market_Bageecha,market_Balodabazar,market_Bareli,market_Barghat,market_Begamganj,market_Belarbahara,market_Belargaon,market_Bemetara,market_Berla,market_Bhandara,market_Bhatapara,market_Bhiwapur,market_Bhopal,market_Bilaspur,market_Bolangir,market_Brahmpuri,market_Devbhog,market_Dhamtari,market_Dharamjaygarh,market_Dongargaon,market_Dongargarh,market_Ganjbasoda,market_Gattasilli,market_Gaurella,market_Ghansour,market_Gulabganj,market_Jaspur,market_Kawardha,market_Khamhariya,market_Kharora,market_Kheragarh,market_Kota,market_Kotba,market_Kurwai,market_Lateri,market_Lormi,market_Munguli,market_Nagari,market_Navagaon,market_Neora,market_Obedullaganj,market_Pathalgaon,market_Pathriya,market_Pavani,market_Pendraroad,market_Rajnandgaon,market_Ratanpur,market_Saja,market_Sakri,market_Sambalpur (Bemetra),market_Sargaon,market_Savali,market_Shakti,market_Surajpur,market_Takhatpur,market_Udaipur (Grain),market_Udaipura,market_Umared,market_Vidisha,variety_Lakdal (Split),variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
