month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Karnataka,market_Annigeri,market_Bellary,market_Davangere,market_Dharwar,market_Gadag,market_Hoovinahadagali,market_Hubli (Amaragol),market_Huliyar,market_Hunsur,market_Kalagategi,market_Kundagol,market_Laxmeshwar,market_Mangalore,market_Nargunda,market_Ranebennur,market_Savanur,market_Sindagi,market_Sindhanur,market_Sira,market_Sirsa,market_Yalburga,variety_Jaydhar,variety_Other,year
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2020
