month_August,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Himachal Pradesh,state_Jammu and Kashmir,state_Jharkhand,state_Meghalaya,state_Mizoram,state_Punjab,state_Rajasthan,state_Uttar Pradesh,state_Uttrakhand,state_West Bengal,market_Ajmer(F&V),market_Akhnoor,market_Ambala Cantt.,market_Ambala City,market_Amritsar,market_Amritsar(Amritsar Mewa Mandi),market_Asandh,market_Baghmara,market_Bahadurgarh,market_Bangarmau,market_Barnala,market_Baruipur(Canning),market_Barwala,market_Barwala(Hisar),market_Bassi Pathana,market_Batala,market_Bhawanigarh,market_Bhuntar,market_Bikaner (F&V),market_Bilaspur,market_Ch. Dadri,market_Chamba,market_Cheeka,market_Dabwali,market_Dasuya,market_Dehradoon,market_Deoband,market_Dhanbad,market_Dhanotu (Mandi),market_Dhuri,market_Dinanagar,market_Faridabad,market_Faridkot,market_Fatehabad,market_Ferozepur Cantt.,market_Firozepur City,market_Gadarpur,market_Garh Shankar,market_Garh Shankar(Mahalpur),market_Garobadha,market_Gasuapara,market_Gurdaspur,market_Guru Har Sahai,market_Haldwani,market_Hamirpur,market_Hamirpur(Nadaun),market_Hissar,market_Jakhal,market_Jalandhar City,market_Jalandhar City(Jalandhar),market_Jamshedpur,market_Jhajjar,market_Jhansi,market_Jodhpur (F&V),market_Jowai,market_Kangra,market_Kangra(Baijnath),market_Kangra(Jaisinghpur),market_Kangra(Jassour),market_Kangra(Nagrota Bagwan),market_Kashipur,market_Kathua,market_Khanina,market_Khanna,market_Khateema,market_Khliehriat,market_Kicchha,market_Koderma,market_Kota (F&V),market_Kotadwara,market_Kotkapura,market_Kullu,market_Kullu(Chauri Bihal),market_Kurali,market_Ladwa,market_Lehra Gaga,market_Lucknow,market_Ludhiana,market_Malout,market_Mandi(Mandi),market_Manglaur,market_Meham,market_Mohindergarh,market_Mukerian,market_Mukerian(Talwara),market_Muktsar,market_Nahan,market_Najibabad,market_Naraingarh,market_Narwal Jammu (F&V),market_Narwana,market_Nawan Shahar(Subzi Mandi),market_New Market Aizawl,market_Nongpoh (R-Bhoi),market_Nongstoin,market_Palampur,market_Palwal,market_Paonta Sahib,market_Pataudi,market_Pathankot,market_Patiala,market_Pehowa,market_Phagwara,market_Quadian,market_Rajpura,market_Ramgarh,market_Ramnagar,market_Rishikesh,market_Rohtak,market_Rongram,market_Roorkee,market_Rudrapur,market_Samana,market_Samba,market_Sangrur,market_Santoshgarah,market_Santoshgarh,market_Shahabad,market_Shahjahanpur,market_Shimla and Kinnaur(Rampur),market_Sikarpur,market_Sitarganj,market_Sohra,market_Solan,market_Sonepat,market_Sriganganagar (F&V),market_Sunam,market_Tanakpur,market_Tanda Urmur,market_Thanabhavan,market_Thanesar,market_Tohana,market_Tohana(New Veg Market),market_Tura,market_Uklana,market_Una,market_Unnao,market_Vikasnagar,market_Yamuna Nagar,market_kalanwali,variety_Other,year
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2020
