month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Jammu and Kashmir,state_Odisha,market_Bharuch,market_Junagadh,market_Koraput,market_Mohindergarh,market_Narwal Jammu (F&V),market_Udhampur,market_Valod(Buhari),year
,,,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,2020
,,,,,,,,,,1,,,1,,,1,,,,,2020
,,,,,,,,,,1,,1,,,,,,,1,,2020
,,,,,,,,,,1,,1,,,,,,1,,,2020
,,,,,,,,,,1,1,,,,,,1,,,,2020
,,,,,,,,,1,,,,,,,,,,,1,2020
,,,,,,,,,1,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,2020
,,,,,,,,,1,,,,1,,,1,,,,,2020
,,,,,,,,,1,,,1,,,,,,,1,,2020
,,,,,,,,,1,,,1,,,,,,1,,,2020
,,,,,,,,,1,,1,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,,,,,,1,2020
,,,,,,,,1,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,2020
,,,,,,,,1,,,,,1,,,1,,,,,2020
,,,,,,,,1,,,,1,,,,,,,1,,2020
,,,,,,,,1,,,,1,,,,,,1,,,2020
,,,,,,,,1,,,1,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,,1,,,1,,,,,2020
,,,,,,,1,,,,,1,,,,,,,1,,2020
,,,,,,,1,,,,,1,,,,,,1,,,2020
,,,,,,,1,,,,1,,,,,,1,,,,2020
,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,,1,,,1,,,,,2020
,,,,,,1,,,,,,1,,,,,,,1,,2020
,,,,,,1,,,,,,1,,,,,,1,,,2020
,,,,,,1,,,,,1,,,,,,1,,,,2020
,,,,,1,,,,,,,,,,,,,,,1,2020
,,,,,1,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,,,1,,,1,,,,,2020
,,,,,1,,,,,,,1,,,,,,,1,,2020
,,,,,1,,,,,,,1,,,,,,1,,,2020
,,,,,1,,,,,,1,,,,,,1,,,,2020
,,,,1,,,,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,,,1,,,1,,,,,2020
,,,,1,,,,,,,,1,,,,,,,1,,2020
,,,,1,,,,,,,,1,,,,,,1,,,2020
,,,,1,,,,,,,1,,,,,,1,,,,2020
,,,1,,,,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,,,1,,,1,,,,,2020
,,,1,,,,,,,,,1,,,,,,,1,,2020
,,,1,,,,,,,,,1,,,,,,1,,,2020
,,,1,,,,,,,,1,,,,,,1,,,,2020
,,1,,,,,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,,,1,,,1,,,,,2020
,,1,,,,,,,,,,1,,,,,,,1,,2020
,,1,,,,,,,,,,1,,,,,,1,,,2020
,,1,,,,,,,,,1,,,,,,1,,,,2020
,1,,,,,,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,,,1,,,1,,,,,2020
,1,,,,,,,,,,,1,,,,,,,1,,2020
,1,,,,,,,,,,,1,,,,,,1,,,2020
,1,,,,,,,,,,1,,,,,,1,,,,2020
1,,,,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,,,1,,,1,,,,,2020
1,,,,,,,,,,,,1,,,,,,,1,,2020
1,,,,,,,,,,,,1,,,,,,1,,,2020
1,,,,,,,,,,,1,,,,,,1,,,,2020
