month_June,month_March,month_May,state_Himachal Pradesh,state_Jammu and Kashmir,state_Punjab,market_Batala,market_Dasuya,market_Fatehabad,market_Gurdaspur,market_Hamirpur,market_Jalalabad,market_Kangra,market_Kangra(Baijnath),market_Kangra(Jassour),market_Kangra(Nagrota Bagwan),market_Ludhiana,market_Narwal Jammu (F&V),market_Palampur,market_Yamuna Nagar,variety_Other,year
,,1,,,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,,,,,,,,,1,1,2020
,,1,,,,,,1,,,,,,,,,,,,,2020
,,1,,,,,,1,,,,,,,,,,,,1,2020
,,1,,,1,,,,,,,,,,,1,,,,,2020
,,1,,,1,,,,,,,,,,,1,,,,1,2020
,,1,,,1,,,,,,1,,,,,,,,,,2020
,,1,,,1,,,,,,1,,,,,,,,,1,2020
,,1,,,1,,,,1,,,,,,,,,,,,2020
,,1,,,1,,,,1,,,,,,,,,,,1,2020
,,1,,,1,,1,,,,,,,,,,,,,,2020
,,1,,,1,,1,,,,,,,,,,,,,1,2020
,,1,,,1,1,,,,,,,,,,,,,,,2020
,,1,,,1,1,,,,,,,,,,,,,,1,2020
,,1,,1,,,,,,,,,,,,,1,,,,2020
,,1,,1,,,,,,,,,,,,,1,,,1,2020
,,1,1,,,,,,,,,,,,,,,1,,,2020
,,1,1,,,,,,,,,,,,1,,,,,,2020
,,1,1,,,,,,,,,,,1,,,,,,,2020
,,1,1,,,,,,,,,,,1,,,,,,1,2020
,,1,1,,,,,,,,,,1,,,,,,,,2020
,,1,1,,,,,,,,,1,1,1,1,,,,,,2020
,,1,1,,,,,,,,,1,1,1,1,,,,,1,2020
,,1,1,,,,,,,1,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,,,,,,,,,1,1,2020
,1,,,,,,,1,,,,,,,,,,,,,2020
,1,,,,,,,1,,,,,,,,,,,,1,2020
,1,,,,1,,,,,,,,,,,1,,,,,2020
,1,,,,1,,,,,,,,,,,1,,,,1,2020
,1,,,,1,,,,,,1,,,,,,,,,,2020
,1,,,,1,,,,,,1,,,,,,,,,1,2020
,1,,,,1,,,,1,,,,,,,,,,,,2020
,1,,,,1,,,,1,,,,,,,,,,,1,2020
,1,,,,1,,1,,,,,,,,,,,,,,2020
,1,,,,1,,1,,,,,,,,,,,,,1,2020
,1,,,,1,1,,,,,,,,,,,,,,,2020
,1,,,,1,1,,,,,,,,,,,,,,1,2020
,1,,,1,,,,,,,,,,,,,1,,,,2020
,1,,,1,,,,,,,,,,,,,1,,,1,2020
,1,,1,,,,,,,,,,,,,,,1,,,2020
,1,,1,,,,,,,,,,,,1,,,,,,2020
,1,,1,,,,,,,,,,,1,,,,,,,2020
,1,,1,,,,,,,,,,,1,,,,,,1,2020
,1,,1,,,,,,,,,,1,,,,,,,,2020
,1,,1,,,,,,,,,1,1,1,1,,,,,,2020
,1,,1,,,,,,,,,1,1,1,1,,,,,1,2020
,1,,1,,,,,,,1,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,,1,,2020
1,,,,,,,,,,,,,,,,,,,1,1,2020
1,,,,,,,,1,,,,,,,,,,,,,2020
1,,,,,,,,1,,,,,,,,,,,,1,2020
1,,,,,1,,,,,,,,,,,1,,,,,2020
1,,,,,1,,,,,,,,,,,1,,,,1,2020
1,,,,,1,,,,,,1,,,,,,,,,,2020
1,,,,,1,,,,,,1,,,,,,,,,1,2020
1,,,,,1,,,,1,,,,,,,,,,,,2020
1,,,,,1,,,,1,,,,,,,,,,,1,2020
1,,,,,1,,1,,,,,,,,,,,,,,2020
1,,,,,1,,1,,,,,,,,,,,,,1,2020
1,,,,,1,1,,,,,,,,,,,,,,,2020
1,,,,,1,1,,,,,,,,,,,,,,1,2020
1,,,,1,,,,,,,,,,,,,1,,,,2020
1,,,,1,,,,,,,,,,,,,1,,,1,2020
1,,,1,,,,,,,,,,,,,,,1,,,2020
1,,,1,,,,,,,,,,,,1,,,,,,2020
1,,,1,,,,,,,,,,,1,,,,,,,2020
1,,,1,,,,,,,,,,,1,,,,,,1,2020
1,,,1,,,,,,,,,,1,,,,,,,,2020
1,,,1,,,,,,,,,1,1,1,1,,,,,,2020
1,,,1,,,,,,,,,1,1,1,1,,,,,1,2020
1,,,1,,,,,,,1,,,,,,,,,,,2020
