month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Kerala,market_Kattappana,market_Moovattupuzha,market_Nedumkandam,market_Rayachoti,market_Sasthamkotta,market_Thodupuzha,year
,,,,,,,,,,1,,,,,1,,,2020
,,,,,,,,,,1,1,,,,,,1,2020
,,,,,,,,,,1,1,,,,,1,,2020
,,,,,,,,,,1,1,,,1,,,,2020
,,,,,,,,,,1,1,,1,,,,,2020
,,,,,,,,,,1,1,1,,,,,,2020
,,,,,,,,,1,,,,,,1,,,2020
,,,,,,,,,1,,1,,,,,,1,2020
,,,,,,,,,1,,1,,,,,1,,2020
,,,,,,,,,1,,1,,,1,,,,2020
,,,,,,,,,1,,1,,1,,,,,2020
,,,,,,,,,1,,1,1,,,,,,2020
,,,,,,,,1,,,,,,,1,,,2020
,,,,,,,,1,,,1,,,,,,1,2020
,,,,,,,,1,,,1,,,,,1,,2020
,,,,,,,,1,,,1,,,1,,,,2020
,,,,,,,,1,,,1,,1,,,,,2020
,,,,,,,,1,,,1,1,,,,,,2020
,,,,,,,1,,,,,,,,1,,,2020
,,,,,,,1,,,,1,,,,,,1,2020
,,,,,,,1,,,,1,,,,,1,,2020
,,,,,,,1,,,,1,,,1,,,,2020
,,,,,,,1,,,,1,,1,,,,,2020
,,,,,,,1,,,,1,1,,,,,,2020
,,,,,,1,,,,,,,,,1,,,2020
,,,,,,1,,,,,1,,,,,,1,2020
,,,,,,1,,,,,1,,,,,1,,2020
,,,,,,1,,,,,1,,,1,,,,2020
,,,,,,1,,,,,1,,1,,,,,2020
,,,,,,1,,,,,1,1,,,,,,2020
,,,,,1,,,,,,,,,,1,,,2020
,,,,,1,,,,,,1,,,,,,1,2020
,,,,,1,,,,,,1,,,,,1,,2020
,,,,,1,,,,,,1,,,1,,,,2020
,,,,,1,,,,,,1,,1,,,,,2020
,,,,,1,,,,,,1,1,,,,,,2020
,,,,1,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,1,,,,,,1,2020
,,,,1,,,,,,,1,,,,,1,,2020
,,,,1,,,,,,,1,,,1,,,,2020
,,,,1,,,,,,,1,,1,,,,,2020
,,,,1,,,,,,,1,1,,,,,,2020
,,,1,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,1,,,,,,1,2020
,,,1,,,,,,,,1,,,,,1,,2020
,,,1,,,,,,,,1,,,1,,,,2020
,,,1,,,,,,,,1,,1,,,,,2020
,,,1,,,,,,,,1,1,,,,,,2020
,,1,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,1,,,,,,1,2020
,,1,,,,,,,,,1,,,,,1,,2020
,,1,,,,,,,,,1,,,1,,,,2020
,,1,,,,,,,,,1,,1,,,,,2020
,,1,,,,,,,,,1,1,,,,,,2020
,1,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,1,,,,,,1,2020
,1,,,,,,,,,,1,,,,,1,,2020
,1,,,,,,,,,,1,,,1,,,,2020
,1,,,,,,,,,,1,,1,,,,,2020
,1,,,,,,,,,,1,1,,,,,,2020
1,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,1,,,,,,1,2020
1,,,,,,,,,,,1,,,,,1,,2020
1,,,,,,,,,,,1,,,1,,,,2020
1,,,,,,,,,,,1,,1,,,,,2020
1,,,,,,,,,,,1,1,,,,,,2020
