month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Assam,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_NCT of Delhi,state_Odisha,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,state_Uttrakhand,state_West Bengal,market_Ahmedabad,market_Ahmednagar,market_Ajmer(F&V),market_Ajnala,market_Alappuzha,market_Aluva,market_Alwar (F&V),market_Amarawati,market_Ambala City,market_Amritsar(Amritsar Mewa Mandi),market_Anchal,market_Angamaly,market_Anklav,market_Ankleshwar,market_Aralamoodu,market_Arasikere,market_Aroor,market_Ateli,market_Athirampuzha,market_Attabira,market_Azadpur,market_Baghapurana,market_Bahadurgarh,market_Bahedi,market_Balachaur,market_Banga,market_Banur,market_Bapauli,market_Bareilly,market_Bargarh,market_Barikpur,market_Baripada,market_Barnala,market_Barwala,market_Bassi Pathana,market_Batote,market_Betnoti,market_Bhadravathi,market_Bhagta Bhai Ka,market_Bhawanigarh,market_Bhulath,market_Bhuntar,market_Bikaner (F&V),market_Bilaspur,"market_Binny Mill (F&V), Bangalore",market_Botad,market_Ch. Dadri,market_Chakdah,market_Chala,market_Chalakudy,market_Chalisgaon,market_Chamba,market_Chandrapur(Ganjwad),market_Channapatana,market_Chanthroor,market_Chattrapati Sambhajinagar,market_Chavakkad,market_Chelakkara,market_Cherthala,market_Chhachhrauli(Khizrabad),market_Chhachrauli,market_Chintamani,market_Chittorgarh,market_Dabwali,market_Damoh(F&V),market_Dasuya,market_Davangere,market_Dharamkot,market_Dharashiv,market_Digapahandi,market_Dinanagar,market_Divai,market_Ernakulam,market_Ettumanoor,market_Faridkot,market_Fatehabad,market_Fatehpur,market_Fatehpur Sikri,market_Firozabad,market_Firozepur City,market_Gaddiannaram,market_Garh Shankar,market_Giddarbaha,market_Godhra,market_Gohana,market_Gubbi,market_Guru Har Sahai,market_Haldaur,market_Hanagal,market_Harda,market_Hardoi,market_Harippad,market_Hinjilicut,market_Hospet,market_Irinjalakkuda,market_Jagadhri,market_Jagraon,market_Jajpur,market_Jalalabad,market_Jaleswar,market_Jalgaon,market_Jalore,market_Jaspur(UC),market_Jhansi,market_Jhumpura,market_Jodhpur (F&V),market_Jodhpur(F&V)(Paota),market_Jui,market_Junagadh,market_Kadur,"market_Kalol(Veg,Market,Kalol)",market_Kalpi,market_Kamthi,market_Kanakapura,market_Kanjirappally,market_Katpadi(Uzhavar Santhai),market_Kattappana,market_Kesinga,market_Khammam,market_Khanina,market_Khariar Road,market_Kodumgalloor,market_Kodungalloor,market_Koduvayoor,market_Kolhapur,market_Kollam,market_Kollengode,market_Koraput,market_Koraput(Semilguda),market_Kota (F&V),market_Kothamangalam,market_Kottakkal,market_Kottarakkara,market_Kuchinda,market_Kullu,market_Kunigal,market_Kuruppanthura,market_Lakshar,market_Lalganj,market_Lalru,market_Lashkar,market_Lashkar(F&V),market_Lehra Gaga,market_Ludhiana,market_Madhugiri,market_Makhu,market_Malout,market_Malur,market_Manchar,market_Manglaur,market_Mannar,market_Meham,market_Midnapore Sadar,market_Mohindergarh,market_Moovattupuzha,market_Mottagaon,market_Mukhiguda,market_Muktsar,market_Mulabagilu,market_Mumbai,market_Mustafabad,market_Mylavaram,market_Mysore (Bandipalya),market_Nadiad,market_Nagpur,market_Nagpur(Mahatma Phule Market),market_Nahan,market_Nakodar,market_Naraingarh,market_Narnaul,market_Nasik,market_Nawan Shahar(MandiRaho),market_Nedumkandam,market_Nimapara,market_Nippani,market_Nissing,market_Nizamabad,market_Padra,market_Palakkad,market_Palwal,market_Pampady,market_Paonta Sahib,market_Parappanangadi,market_Parassala,market_Parbhani,market_Parvathipuram,market_Pataudi,market_Pattambi,market_Perinthalmanna,market_Perumbavoor,market_Phillaur,market_Piravam,market_Pothencode,market_Punalur,market_Pune,market_Pune(Khadiki),market_Pune(Pimpri),market_Puranpur,market_Radaur,market_Rahata,market_Rahuri,market_Rajpura,market_Ramanagara,market_Ramnagar,market_Rampura Phul,market_Rampuraphul(Nabha Mandi),market_Ropar,market_Rudrapur,market_Sagar,market_Sagar(F&V),market_Sahnewal,market_Samalkha,market_Samana,market_Sandi,market_Santoshgarh,market_Sasthamkotta,market_Shahapur,market_Shahzadpur,market_Shajapur(F&V),market_Sheopurkalan,market_Shikohabad,market_Shimoga,market_Shrirampur,market_Sitarganj,market_Sonepat,market_Sriganganagar (F&V),market_Srirangapattana,market_Sultanpur,market_Sunam,market_Surat,market_Syopurkalan(F&V),market_Talwandi Bhai,market_Tanda Urmur,market_Tapa,market_Tarikere,market_Tarori,market_Tauru,market_Thalayolaparambu,market_Thanesar,market_Thirurrangadi,market_Thodupuzha,market_Thrippunithura,market_Thrissur,market_Tikabali,market_Tinsukia,market_Tohana,market_Tohana(New Veg Market),market_Una,market_Unnao,market_Vadakkenchery,market_Vadhvan,market_Vadodara(Sayajipura),market_Vamanapuram,market_Vandiperiyar,market_Vyra,market_Wadakkanchery,market_Zira,market_kalanwali,market_vadakarapathy,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
