month_August,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Himachal Pradesh,state_Karnataka,state_Madhya Pradesh,state_Punjab,state_Rajasthan,state_Uttar Pradesh,market_Bhopal(F&V),market_Bilaspur,"market_Binny Mill (F&V), Bangalore",market_Dhuri,market_Firozepur City,market_Hissar,market_Jagraon,market_Mysore (Bandipalya),market_Sirhind,market_Sriganganagar (F&V),market_Sultanpur,market_Yamuna Nagar,market_kalanwali,variety_Other,year
,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,1,2020
,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,1,2020
,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,1,2020
,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,2020
,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,2020
,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,2020
