month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Jammu and Kashmir,state_Karnataka,state_Maharashtra,state_NCT of Delhi,state_Rajasthan,state_Uttar Pradesh,state_West Bengal,market_Belur,market_Chamaraj Nagar,market_Chandvad,market_Chattrapati Sambhajinagar,market_Chickkaballapura,market_Fatehpur,"market_Flower Market, Canaught Place(Pr. Yard,Mehrauli)","market_Flower Market,Gazipur",market_Gazipur,market_Gowribidanoor,market_Gundlupet,market_Harappana Halli,market_Hunsur,market_K.R.Nagar,market_Kadur,market_Kamthi,market_Kolaghat,market_Malur,market_Manchar,market_Mehrauni,market_Mohindergarh,market_Narwal Jammu (F&V),market_Navapur,market_Paderu,market_Parbhani,market_Pune,market_Ramtek,market_Shimoga,variety_Orchid,variety_Other,variety_Patti Calcutta,variety_Rose (Local),variety_Tube Rose (Single),year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
