month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Kerala,state_Meghalaya,state_NCT of Delhi,state_Odisha,state_Punjab,state_Uttrakhand,market_Attabira,market_Barwala,market_Bhadrak,market_Bhuntar,market_Bilaspur,market_Chamba,market_Cherthala,market_Dehradoon,market_Dhanotu (Mandi),market_Dhenkanal,market_Dibrugarh,market_Digapahandi,market_Faridkot,market_Fatehabad,market_Firozepur City,market_Garobadha,market_Godabhaga,market_Gunpur,market_Haldwani,market_Jalandhar City,market_Jalandhar City(Faintan Ganj),market_Jalandhar City(Jalandhar),market_Kangra,market_Kangra(Jassour),market_Kangra(Nagrota Bagwan),market_Kathua,market_Kesinga,market_Khateema,market_Koraput(Semilguda),market_Kot ise Khan,market_Ladwa,market_Machhiwara,market_Mandi(Mandi),market_Mansa,market_Mohindergarh,market_Muktsar,market_Nahan,market_Naraingarh,market_Narwal Jammu (F&V),market_Nawan Shahar(Subzi Mandi),market_Palampur,market_Paonta Sahib,market_Patti,market_Phillaur(Apra Mandi),market_Rajpura,market_Rayagada(Muniguda),market_Rishikesh,market_Rohtak,market_Samalkha,market_Samana,market_Shahdara,market_Solan,market_Sonepat,market_Udhampur,market_Una,market_kalanwali,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
