month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Gujarat,state_Karnataka,state_Maharashtra,market_Achalpur,market_Aheri,market_Ahmednagar,market_Amalner,market_Ambad (Vadigodri),market_Bangalore,market_Barshi,market_Barshi(Vairag),market_Beed,market_Chalisgaon,market_Chandrapur,market_Chattrapati Sambhajinagar,market_Davangere,market_Deoulgaon Raja,market_Devala,market_Dhule,market_Digras,market_Dondaicha,market_Dondaicha(Sindhkheda),market_Dudhani,market_Gadag,market_Gangapur,market_Gangavathi,market_Gevrai,market_Ghansawangi,market_Indapur,market_Indapur(Bhigwan),market_Jalana,market_Jamkhed,market_Kada,market_Kaij,market_Kalamb (Dharashiv),market_Kalvan,market_Kalyan,market_Kannad,market_Karjat(Rashin),market_Karmala,market_Kille Dharur,market_Kurdwadi,market_Lasur Station,market_Majalgaon,market_Malegaon,market_Mangal Wedha,market_Manmad,market_Mumbai,market_Nandurbar,market_Newasa,market_Nippani,market_Parali Vaijyanath,market_Partur,market_Pathalgaon,market_Pathardi,market_Rahuri,market_Rahuri(Vambori),market_Ranebennur,market_Sakri,market_Sangamner,market_Sangli,market_Satana,market_Shahada,market_Shevgaon,market_Shevgaon(Bodhegaon),market_Shirpur,market_Shirur,market_Shrirampur,market_Siddhpur,market_Sinner,market_Solapur,market_Vadvani,market_Vaijpur,market_Yeola,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2020
