month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_NCT of Delhi,state_Odisha,state_Punjab,state_Rajasthan,state_Telangana,state_Uttar Pradesh,market_Adampur,market_Agra,market_Ahmedabad(Rajnagar sub yard),market_Ahmedgarh,market_Ahmednagar,market_Ajnala,market_Ambala Cantt.,market_Ambala City,market_Ambala City(Subji Mandi),market_Amrawati(Frui & Veg. Market),market_Amritsar(Amritsar Mewa Mandi),market_Anklav,market_Ankleshwar,market_Asandh,market_Ashta,market_Ateli,market_Azadpur,market_Babain,market_Balachaur,market_Banur,market_Bapauli,market_Bariwala,market_Barshi,market_Barwala,market_Barwala(Hisar),market_Batala,market_Bhadaur,market_Bhagat Ki Kothi,market_Bhagat Kii Phalodi,market_Bharuch,market_Bhavnagar,market_Bhawani Mandi,market_Bhawanigarh,market_Bhesan,market_Bhikhiwind,market_Bhiloda,market_Bhiwani,market_Bhogpur,market_Bhopal(F&V),market_Bhuna,market_Bhuntar,market_Bikaner (F&V),market_Bilara,market_Bilaspur,market_Bilga,market_Borsad,market_Botad,market_Chaksu,market_Chalisgaon,market_Chamba,market_Chandrapur(Ganjwad),market_Chandvad,market_Chattrapati Sambhajinagar,market_Cheeka,market_Cherthala,market_Chhachrauli,market_Chhindwara(F&V),market_Chomu (Grain),market_Dabwali,market_Dasuya,market_Deesa(Bhildi),market_Deesa(Deesa Veg Yard),market_Degana,market_Dhanaula,market_Dhanotu (Mandi),market_Dharamkot,market_Dharashiv,market_Dhari,market_Dhari(Chalala),market_Dholka,market_Dholka(Koth),market_Dholka(Market Yard Veg),market_Dhoraji,market_Dudhansadhan,market_Etah,market_Faridkot,market_Fatehpur,market_Fazilka,market_Fazilka (Ladhuka),market_Ferozepur Cantt.,market_Firozepur City,market_Ghanaur,market_Giddarbaha,market_Godhra,market_Goniana,market_Goraya,market_Gurdaspur,market_Guru Har Sahai,market_Hamirpur,market_Hamirpur(Nadaun),market_Harda,market_Harda(F&V),market_Harike,market_Hoshiarpur,market_Hoshiarpur(Sham Churasi),market_Iamailabad,market_Idar,market_Indri,market_Jagraon,market_Jaitaran,market_Jakhal,market_Jalalabad,market_Jalgaon,market_Jalore,market_Jamnagar,market_Jetpur(Dist.Rajkot),market_Jhajjar,market_Jhunjhunu,market_Kalayat,market_Kalmeshwar,"market_Kalol(Veg,Market,Kalol)",market_Kalyan,market_Kamthi,market_Kangra,market_Kangra(Baijnath),market_Kangra(Jaisinghpur),market_Kangra(Jassour),market_Kangra(Nagrota Bagwan),market_Karad,market_Kathlal,market_Keshopur,market_Khamano,market_Khambhat(Veg Yard Khambhat),market_Khanina,market_Khanpur,market_Khed,market_Khed(Chakan),market_Khilchipur,market_Kishangarh Renwal,market_Kodinar,market_Kolhapur,market_Koraput,market_Kot ise Khan,market_Kuchaman City,market_Kullu,market_Kunjpura,market_Ladwa,market_Lakhani,market_Lalru,market_Lashkar,market_Lashkar(F&V),market_Lehra Gaga,market_Madanganj Kishangarh,market_Mahidpur,market_Makhu,market_Malout,market_Mamdot,market_Manchar,market_Mandi(Mandi),market_Mandsaur,market_Mangal Wedha,market_Manmad,market_Mansa,market_Mansa(Manas Veg Yard),market_Meham,market_Mehatpur,market_Merta City,market_Mohindergarh,market_Muktsar,market_Mullana,market_Mustafabad,market_Nadiad,market_Nadiyad(Chaklasi),market_Nadiyad(Piplag),market_Nagaur,market_Nagpur(Mahatma Phule Market),market_Nagur,market_Nahan,market_Najafgarh,market_Nakodar,market_Naraingarh,market_Narnaul,market_Narnaund,market_Narwal Jammu (F&V),market_Nashik(Devlali),market_Nasik,market_Naushera Pannuan,market_Navapur,market_Nawalgarh,market_Nawan Shahar(Mandi Aur),market_Nawan Shahar(Subzi Mandi),market_Nissing,market_Nohar,market_Nokha,market_Noor Mehal,market_Padra,market_Palampur,market_Pandharpur,market_Paonta Sahib,market_Parbhani,market_Patan,"market_Patan(Veg,Yard Patan)",market_Pathankot,market_Patiala,market_Patti,market_Pehowa,"market_Petlad(Veg Yard, Petlad)",market_Phillaur,market_Phillaur(Apra Mandi),market_Pilibhit,market_Pipar City,market_Piplya,market_Pratapgarh,market_Pune,market_Pune(Khadiki),market_Pune(Pimpri),market_Punhana,market_Quadian,market_Radheja,market_Rahuri,market_Rajpura,market_Rajula,market_Rani,market_Ratlam(F&V),market_Ratnagiri (Nachane),market_Rohtak,market_Rohtak(Kalanaur),market_Sahnewal,market_Sakri,market_Samalkha,market_Samana,market_Samba,market_Sambhar (Kishangarh renwal),market_Sangamner,market_Sangrur,market_Santoshgarh,market_Sanwer,market_Sarangpur,market_Sardar Shahar,market_Satara,market_Sawai Madhopur,market_Shahabad,market_Shahdara,market_Shahkot,market_Shahzadpur,market_Shajapur,market_Shajapur(F&V),market_Sheopurkalan,market_Shimla and Kinnaur(Rampur),market_Shimoga,market_Shivpuri(F&V),market_Shrirampur,market_Siddapur,market_Siddhpur,market_Sikar,market_Sirhind,market_Siwani,market_Solan,market_Solapur,market_Sonepat,market_Sonepat(Kharkhoda),market_Sridungargarh,market_Sriganganagar (F&V),market_Sriganganagar (Grain),market_Sumerpur,market_Surajgarh,market_Susner,market_Syopurkalan(F&V),market_Taal,market_Talala,market_Talalagir,market_Talwandi Bhai,market_Talwandi Sabo,market_Tanda Urmur,market_Tauru,market_Tohana,market_Tohana(New Veg Market),market_Udhampur,market_Uklana,market_Una,market_Vadgaonpeth,market_Vadhvan,market_Vadodara(Sayajipura),market_Vijapur(veg),market_Zira,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
