month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Gujarat,state_Madhya Pradesh,state_Maharashtra,state_Odisha,state_Telangana,state_Uttar Pradesh,market_Banaganapalli,market_Beohari,market_Deesa(Deesa Veg Yard),market_Dhone,market_Dindori,market_Dindori(Vani),market_Gorakhpur,market_Kesinga,market_Koilkunta,market_Mohgaon,market_Narayanpet,market_Narayanpur,market_Surajpur,market_Ujhani,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,,,,1,1,,,,,,,,,2020
,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,,,1,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2020
,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2020
,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,,1,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2020
,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2020
,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2020
1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,2020
1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2020
