month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Haryana,state_Himachal Pradesh,state_Kerala,state_NCT of Delhi,state_Odisha,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Uttar Pradesh,market_Alappuzha,market_Alwar,market_Alwar (F&V),market_Amritsar(Amritsar Mewa Mandi),market_Ankleshwar,market_Bahadurgarh,market_Bariwala,market_Barwala(Hisar),market_Batala,market_Bhadaur,market_Bharuch,market_Bikaner (F&V),market_Cherthala,market_Dahod(Veg. Market),market_Faridkot,market_Fatehabad,market_Fazilka (Ladhuka),market_Ferozepur Cantt.,market_Firozepur City,market_Ghanaur,market_Giddarbaha,market_Goraya,market_Gurdaspur,market_Harike,market_Jagadhri,market_Jalore,market_Jhajjar,market_Jodhpur (F&V),market_Jodhpur(F&V)(Paota),market_Kalpi,market_Katpadi(Uzhavar Santhai),market_Khairagarh,market_Kollam,market_Koraput,market_Koraput(Semilguda),market_Kot ise Khan,market_Meham,market_Mehmoodabad,market_Mohindergarh,market_Naraingarh,market_Nawan Shahar(Subzi Mandi),market_Padra,market_Palwal,market_Paonta Sahib,market_Patti,"market_Petlad(Veg Yard, Petlad)",market_Phillaur,market_Phillaur(Apra Mandi),market_Pothencode,market_Punalur,market_Rajpura,market_Shahabad(New Mandi),market_Shahdara,market_Shahzadpur,market_Sriganganagar (F&V),market_Talwandi Bhai,market_Thrippunithura,market_Vadodara(Sayajipura),variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
