month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Assam,state_Bihar,state_Chandigarh,state_Goa,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Jharkhand,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_NCT of Delhi,state_Odisha,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,state_Uttrakhand,state_West Bengal,market_Abohar,market_Adampur,market_Agar,market_Agra,"market_Ahmedabad(Fruit Market, Naroda)",market_Ahmedabad(Manekchowk),market_Ahmednagar,market_Ajmer(F&V),market_Akbarpur,market_Akhnoor,market_Alappuzha,market_Aligarh,market_Alur,market_Alwar,market_Alwar (F&V),market_Amarawati,market_Ambala Cantt.,market_Ambala City,market_Ambala City(Subji Mandi),market_Amrawati(Frui & Veg. Market),market_Amritsar,market_Amritsar(Amritsar Mewa Mandi),market_Anantapur,market_Aroor,market_Asandh,market_Atarra,market_Ateli,market_Atrauli,market_Azadpur,market_Bagepalli,market_Bahadurgarh,market_Bahraich,market_Balachaur,market_Ballabhgarh,market_Balrampur,market_Banda,market_Banga,market_Bangarmau,market_Barabanki,market_Barara,market_Baraut,market_Bareilly,market_Barnala,market_Barshi,market_Barwala,market_Barwala(Hisar),market_Bassi Pathana,market_Batala,market_Bathinda,market_Bharuch,market_Bhawanigarh,market_Bhehjoi,market_Bhiwani,market_Bhopal(F&V),market_Bhuna,market_Bijnaur,market_Bikaner (F&V),market_Bilaspur,"market_Binny Mill (F&V), Bangalore",market_Budalada,market_Burhanpur(F&V),market_Ch. Dadri,market_Chaandpur,market_Chalisgaon,market_Chamba,market_Chandausi,market_Chandigarh(Grain/Fruit),market_Chandrapur,market_Chandrapur(Ganjwad),market_Chanthroor,market_Charra,market_Chattrapati Sambhajinagar,market_Cheeka,market_Chhachrauli,market_Chickkaballapura,market_Chittorgarh,market_Dabwali,market_Dadri,market_Dasuya,market_Dehradoon,market_Deoband,market_Deoghar,market_Dhanbad,market_Dhanotu (Mandi),market_Dharashiv,market_Dhone,market_Dhuri,market_Dudhansadhan,market_Etah,market_Faizabad,market_Faridabad,market_Faridkot,market_Fatehabad,market_Fatehpur,market_Ferozepur Cantt.,market_Firozabad,market_Firozepur City,market_Gadarpur,market_Gaddiannaram,market_Gadhwah,market_Ganaur,market_Gangoh,market_Garh Shankar,market_Garh Shankar(Mahalpur),market_Gharaunda,market_Godda,market_Gohana,market_Gonda,market_Gondal(Veg.market Gondal),market_Gonikappal,market_Gundlupet,market_Gurdaspur,market_Gurgaon,market_Guru Har Sahai,market_Haathras,market_Haldaur,market_Haldwani,market_Hamirpur,market_Hamirpur(Nadaun),market_Hansi,market_Hapur,market_Harda,market_Haridwar Union,market_Hassan,market_Hassanpur,market_Hathin,market_Hissar,market_Hodal,market_Hoshiarpur,market_Hoskote,market_Iamailabad,market_Ichapuram,market_Indore,market_Indore(F&V),market_Indri,market_Israna,market_Jafarganj,market_Jagadhri,market_Jagnair,market_Jagraon,market_Jahangirabad,market_Jakhal,market_Jalalabad,market_Jalana,market_Jalandhar City,market_Jalandhar City(Jalandhar),market_Jalgaon,market_Jalore,market_Jamakhandi,market_Jamshedpur,market_Jhajjar,market_Jhansi,market_Jodhpur (F&V),market_Junagadh,market_Jwalaji,market_Kalayat,market_Kalpi,market_Kalyan,market_Kamalapuram,market_Kamthi,market_Kangra,market_Kangra(Baijnath),market_Kangra(Jaisinghpur),market_Kangra(Jassour),market_Kangra(Nagrota Bagwan),market_Karad,market_Karnailganj,market_Karvi,market_Karwar,market_Kasganj,market_Kashipur,market_Kathua,market_Katol,market_Katpadi(Uzhavar Santhai),market_Keshod,market_Keshopur,market_Khairagarh,market_Khanina,market_Khanna,market_Kharar,market_Khariar Road,market_Khateema,market_Khurja,market_Kicchha,market_Kiratpur,market_Kolar,market_Kolhapur,market_Kollam,market_Kondotty,market_Koppa,market_Kot ise Khan,market_Kota (F&V),market_Kotadwara,market_Kotkapura,market_Ladwa,market_Lakshar,market_Lalganj,market_Lalitpur,market_Lalru,market_Lanka,market_Lashkar,market_Lashkar(F&V),market_Lehra Gaga,market_Lucknow,market_Ludhiana,market_Mainpuri,market_Makhu,market_Malout,market_Malur,market_Mandi(Mandi),market_Manglaur,market_Manjeri,market_Mansa,market_Mapusa,market_Mathura,market_Matigara,market_Maur,market_Mechua,market_Meerut,market_Meham,market_Mohindergarh,market_Mukerian,market_Mukerian(Talwara),market_Muktsar,market_Mulabagilu,market_Mumbai,market_Mumbai- Fruit Market,market_Muradabad,market_Muzzafarnagar,market_Mysore (Bandipalya),market_Nabha,market_Nagina,market_Nagour(FV),market_Nagpur,market_Nahan,market_Najibabad,market_Naraingarh,market_Narnaul,market_Narnaund,market_Narwal Jammu (F&V),market_Narwana,market_Nasik,market_Nawabganj,market_Nawan Shahar(Subzi Mandi),market_Orai,market_P.O. Uparhali Guwahati,market_Paithan,market_Palampur,market_Palwal,market_Panchpedwa,market_Pandhurna,market_Panipat,market_Paonta Sahib,market_Parappanangadi,market_Parbhani,market_Parimpore,market_Pataudi,market_Pathankot,market_Patiala,market_Patna (Musallahpur),market_Patti,market_Pavagada,market_Pehowa,market_Penamaluru,market_Perinthalmanna,market_Phagwara,market_Pilibhit,market_Porsa(F&V),market_Pothencode,market_Pratapgarh,market_Punhana,market_Puranpur,market_Puwaha,market_Quadian,market_Radaur,market_Rahuri,market_Raibareilly,market_Rajouri (F&V),market_Rajpura,market_Ramgarh,market_Ramnagar,market_Rampuraphul(Nabha Mandi),market_Ratia,market_Rattia,market_Rishikesh,market_Rohtak,market_Roorkee,market_Rudrapur,market_Sadhaura,market_Safidon,market_Sagar(F&V),market_Sakaleshpura,market_Samalkha,market_Samana,market_Samba,market_Sampla,"market_Sangli(Phale, Bhajipura Market)",market_Sangrur,market_Santoshgarh,market_Sardulgarh,market_Satara,market_Shahabad,market_Shahabad(New Mandi),market_Shahjahanpur,market_Shahzadpur,market_Shamli,market_Shikaripura,market_Shikohabad,market_Shimoga,market_Shimogga(Theertahalli),market_Shrirampur,market_Sikanderabad,market_Sindagi,market_Sirhind,market_Sirsa,market_Sitapur,market_Sitarganj,market_Siwani,market_Solan,market_Solapur,market_Sonepat,market_Sriganganagar (F&V),market_Srirangapattana,market_Sultanpur,market_Sunam,market_Tanakpur,market_Tanda Urmur,market_Tanda(Rampur),market_Tapa,market_Tarikere,market_Tauru,market_Thanabhavan,market_Thanesar,market_Thirurrangadi,market_Tilhar,market_Tinsukia,market_Tohana,market_Tohana(New Veg Market),market_Tosham,market_Tulsipur,market_Udaipur (F&V),market_Udhampur,market_Udupi,market_Ujjain,market_Ujjain(F&V),market_Uklana,market_Una,market_Unnao,market_Urvakonda,market_Vadodara(Navapura),market_Varud,market_Varud(Rajura Bazar),market_Vijaynagar,market_Vikasnagar,market_Yamuna Nagar,market_kalanwali,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
