month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Karnataka,state_Madhya Pradesh,state_Maharashtra,state_Odisha,state_Tamil Nadu,state_Telangana,market_Alirajpur,market_Ariyalur Market,market_Athani,market_Badami,market_Bagepalli,market_Barshi,market_Bowenpally,market_Chamaraj Nagar,market_Channapatana,market_Chikali,market_Chintamani,market_Deoulgaon Raja,market_Gadag,market_Gangavathi,market_Ghansawangi,market_Gowribidanoor,market_Gundlupet,market_H.B. Halli,market_Hoskote,market_Huliyar,market_Jalana,market_Jhabua,market_Jobat,market_Kadur,market_Kantabaji,market_Kasrawad,market_Kesinga,market_Khamgaon,market_Kharupetia,market_Kollegal,market_Kovilpatti,market_Kustagi,market_Latur,market_Lingasugur,market_Lonar,market_Maddur,market_Madhugiri,market_Manawar,market_Motala,market_Mysore (Bandipalya),market_Nagamangala,market_Nandura,market_Neemuch,market_Pargi,market_Partur,market_Pavagada,market_Pharasgaon,market_Rewa,market_Shevgaon(Bodhegaon),market_Sindhanur,market_Sindkhed Raja,market_Sira,market_Tumkur,variety_Neem Seed,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
