month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Jharkhand,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_NCT of Delhi,state_Odisha,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Uttar Pradesh,state_Uttrakhand,market_Aluva,market_Ambala City,market_Anand,"market_Anand(Veg,Yard,Anand)",market_Anchal,market_Ankleshwar,market_Athirampuzha,market_Azadpur,market_Bahadurgarh,market_Balachaur,market_Bapauli,market_Bariwala,market_Barwala,market_Barwala(Hisar),market_Bhadaur,market_Bharuch,market_Bhuna,market_Bhuntar,market_Bilaspur,market_Bilga,market_Botad,market_Ch. Dadri,market_Chala,market_Chandausi,market_Cheeka,market_Chengannur,market_Cherthala,market_Dasuya,market_Deesa,market_Deesa(Deesa Veg Yard),market_Dehradoon,market_Dera Baba Nanak,market_Dhanaula,market_Dhari,market_Dhari(Chalala),market_Dholka,market_Dholka(Koth),market_Dholka(Market Yard Veg),market_Dhuri,market_Ellanabad,market_F.G.Churian,market_Faridkot,market_Fatehabad,market_Fazilka,market_Fazilka (Ladhuka),market_Ferozepur Cantt.,market_Firozabad,market_Firozepur City,market_Gadhwah,market_Gauripur,market_Giddarbaha,market_Godhra,market_Goniana,market_Guru Har Sahai,market_Hamirpur,market_Harike,market_Hathin,market_Jagadhri,market_Jahangirabad,market_Jalore,market_Jhajjar,market_Jind,market_Jodhpur (F&V),market_Jodhpur(F&V)(Paota),market_Jorhat,market_Junagadh,market_K.Mandvi,market_Kalayat,"market_Kalol(Veg,Market,Kalol)",market_Kangra(Nagrota Bagwan),market_Kanjirappally,market_Kantabaji,market_Katpadi(Uzhavar Santhai),market_Kiratpur,market_Kodinar,market_Kot ise Khan,market_Kotkapura,market_Ladwa,market_Makhu,market_Malout,market_Mandi(Mandi),market_Mansa(Manas Veg Yard),market_Meham,market_Mohindergarh,market_Mukkom,market_Muktsar,market_Mullanpur,market_Nadiyad(Chaklasi),market_Nadiyad(Piplag),market_Nahan,market_Naraingarh,market_Narnaund,market_Narwal Jammu (F&V),market_Nedumkandam,market_Palayam,market_Palwal,market_Paonta Sahib,market_Parassala,"market_Patan(Veg,Yard Patan)",market_Patiala,market_Pehowa,"market_Petlad(Veg Yard, Petlad)",market_Phillaur(Apra Mandi),market_Piravam,market_Pothencode,market_Punhana,market_Rania,market_Samalkha,market_Sangrur,market_Sasthamkotta,market_Shahdara,market_Shahzadpur,market_Shamgarh,market_Sheopurkalan,market_Shimla and Kinnaur(Rampur),market_Siddapur,market_Siddhpur,market_Sriganganagar (F&V),market_Sultanpur,market_Syopurkalan(F&V),market_Talalagir,market_Talwandi Bhai,market_Talwandi Sabo,market_Tapa,market_Tarori,market_Thrippunithura,market_Tinsukia,market_Tosham,market_Uklana,market_Una,market_Unnao,market_Vadhvan,market_Vadodara(Sayajipura),market_Vamanapuram,market_Vankaner(Sub yard),market_Vijapur(veg),market_Zira,market_kalanwali,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
