month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Gujarat,state_Haryana,state_Jharkhand,state_Madhya Pradesh,state_Maharashtra,state_NCT of Delhi,state_Odisha,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttrakhand,state_West Bengal,market_Abhanpur,market_Ajaygarh,market_Alampur,market_Alirajpur,market_Ambikapur,market_Amreli,market_Antagarh,market_Anthiyur,market_Arani,market_Aron,market_Ashoknagar,market_Ashta,market_Babra,market_Badarwas,market_Badnagar,market_Badnawar,market_Bageecha,market_Bahadurgarh,market_Baikunthpur,market_Baktara,market_Balaghat,market_Ballabhgarh,market_Balotra,market_Bamora,market_Banda,market_Bankhedi,market_Banki,market_Baradwar,market_Baramkela,market_Barshi,market_Bazpur,market_Bededonger,market_Bemetara,market_Berachha,market_Berasia,market_Betul,market_Bhandara,market_Bhander,market_Bhatapara,market_Bhind,market_Bhopal,market_Biaora,market_Bilara,market_Bilaspur,market_Binaganj,market_Bokaro (Chas),market_Botad,market_Burhanpur,market_Cachar,market_Chaakghat,market_Chaksu,market_Chhatarpur,market_Chirawa,market_Dabra,market_Damoh,market_Datia,market_Deori,market_Devandranagar,market_Dhanora,market_Dindori,market_Dindori(Vani),market_Ding,market_Dongargarh,market_Doranpal,market_Durg,market_Gairatganj,market_Ganjbasoda,market_Gattasilli,market_Gaurella,market_Ghansour,market_Gharghoda,market_Gorakhpur,market_Gotegaon,market_Guna,market_Haldwani,market_Hanumana,market_Isagarh,market_Itarsi,market_Jabalpur,market_Jaitaran,market_Jaitsar,market_Jaspur,market_Javera,market_Jeerapur,market_Jhabua,market_Jhagadiya,market_Jobat,market_Jorhat,market_Kailaras,market_Karera,market_Karhi,market_Karimpur,market_Karjat(Rashin),market_Katghora,market_Katni,market_Katpadi,market_Keolari,market_Kesarisinghpur,market_Keshkal,market_Kesinga,market_Kesli,market_Khalapur (Shil-Phata),market_Khandwa,market_Khaniadhana,market_Khariar,market_Khariar Road,market_Kharora,market_Kharsiya,market_Khatora,market_Kheragarh,market_Khilchipur,market_Khirakiya,market_Khujner,market_Khurai,market_Koderma,market_Kolaras,market_Koraput(Semilguda),market_Kota,market_Kotadwara,market_Kothagudem,market_Kotma,market_Kunkuri,market_Kurawar,market_Kurwai,market_Kusmee,market_Ladwa,market_Lahar,market_Lakhnadon,market_Lakhnadon(F&V),market_Lalgarh Jatan,market_Lashkar,market_LavKush Nagar(Laundi),market_Lohardaga,market_Loharu,market_Lormi,market_Maksudangarh,market_Manasa,market_Manawar,market_Mandla,market_Manendragarh,market_Mehar,market_Mehgaon,market_Mungawali,market_Munguli,market_Nagari,market_Nagarkurnool,market_Nagod,market_Naila,market_Nainpur,market_Najafgarh,market_Narela,market_Narsinghpur,market_Navapur,market_Neem Ka Thana,market_Neemuch,market_Obedullaganj,market_P.O. Uparhali Guwahati,market_Palitana,market_Pandariya,market_Pandhana,market_Panna,market_Pataudi,market_Pathalgaon,market_Patharia,market_Pavani,market_Pendraroad,market_Pharasgaon,market_Pichhour,market_Pillukhera,market_Pipar City,market_Pipariya,market_Piprai,market_Pohari,market_Raghogarh,market_Rahatgarh,market_Raigarh,market_Raipur,market_Raisen,market_Rajnandgaon,market_Ramanujganj,market_Ramnagar,market_Ramtek,market_Ratlam,market_Rehati,market_Rewa,market_Rishikesh,market_Sabalgarh,market_Sagar,market_Sailana,market_Sakri,market_Samalkha,market_Sanad,market_Sangamner,market_Sarangarh,market_Sehora,market_Semriharchand,market_Sengoan,market_Seoni,market_Shahdol,market_Shahpura,market_Shahpura(Jabalpur),market_Shajapur,market_Shakti,market_Shamshabad,market_Sheopurbadod,market_Shivpuri,market_Sidhi,market_Sihora,market_Singroli,market_Sitapur,market_Sri Madhopur,market_Sri Vijayanagar,market_Sriganganagar (Grain),market_Sumerpur,market_Surajpur,market_Suryapeta,market_Suvasra,market_Taal,market_Takhatpur,market_Talod,market_Tikabali,market_Timarni,market_Tittakudi,market_Tumsar,market_Udaipura,market_Ulhasnagar,market_Umared,market_Umariya,market_Valod(Buhari),market_Vellore,market_Vidisha,market_Vijapur,market_Vijaypur,market_Virudhachalam,variety_Peas(Dry),year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
